post_number,user,topic,raw,created_at,reply_to_post_number
31,maxi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Die Punkte an sich sind ja schön und gut, was ist den mit den Menschen, die keine Flüchtlinge sind? Es müßte doch auch geklärt werden, wie sich die Menschen radikalisieren und dann zu Terroristen werden. So muss dann auch präventiv da gegen vorgegangen werden und das schon frühzeitig in den Schulen, Moscheen und in den sozialen Brennpunkten. Da wird aber gespart, was das Zeug hält, weil man es nicht für nötig hält. Was soll denn ein Mensch mit sich anfangen, der seiner Meinung nach keine Perspektive hat? Er wird wohl sich dahin wenden, wo er ""gewollt"" ist, so arbeiten die Organisationen des Terrors. Wir bräuchten auch dringend die härtere Durchsetzung der bestehenden Gesetze, insbesondere gegen Gewalttäter. Was nützen denn Bewährungsstrafen, was soll daran denn abeschrecken? Auch müsste härter gegen diese ""Großfamilien-Clans"", Gedulteten usw. vorgegangen werden, die Politzei sammelt fleißig Beweise und nimmt die Täter fest und Richter lassen die Täter laufen. Warum kann zum Beispiel Tunesien Deutschland vorschreiben, dass sie eine handvoll Tunesier pro Woche wieder aufnehmen, die doch eindeutig tunesische Staatsbürger sind, warum bekommt denn Tunesien Hilfsgelder und schreibt der deutschen Regierung vor, wie eine Rückführung ab zu laufen hat? Sollte es nicht anders herum sein? Ansonsten Hilfsgelder streichen und Reisewarnungen für die beliebten Reiseziele herausgeben! Allgemein fehlt es auch am Respekt gegenüber der demokratischen, westlichen Gesellschaft. Aber das ist doch das schöne daran in unsere Demokratie, es wird keiner gezwungen hier zu bleiben, wo es ihm anscheinend nicht gefällt. Wenn diese Leute unsere Demokratie so verändern wollen, dass man seine Meinung nicht frei äußern darf, als Frau nur machen darf, was der Mann der Familie vorschreibt...dann sind diese Leute doch definitiv falsch hier in einer Demokratie. Warum ändern Schulkantinen zum Beispiel ihren Essensplan so um, dass es kein Schweinfleisch mehr gibt, weil sich dadurch Mosleme dadurch gestört fühlen, dann finde ich es ehrlich gesagt übertrieben. Warum muss ich darüber nachdenken, die Deutsche ist und Demokratin, ob sich jemand gestört fühlen könnte, dass ich in einer deutschen Kantine Schweineschnitzel essen möchte? **Leben und leben lassen, scheint ja für Viele ein Fremdwort zu sein, auch im Jahr 2017**. Der Glaube wird vorgeschoben, weil Einige ihr Mittelalter- Denken nicht ablegen wollen! So nun wieder zum 9 punkte plan: das sind doch alles nur Anfänge, die ja auch erst einmal mit dem Datenschutz und Grundgesetz in Einklang gebracht werden müssen, Bundeswehr darf nicht zur Terrorabwehr im Inland eingesetzt werden, man hat aus der NS-Zeit ja gelernt und wollte damit vorbeugen. Auch wir dürfen uns nicht einengen lassen, ich möchte ausgehen und auch Polizeipräsens sehen, um mich einiger Maßen sicher zu fühlen. Auch will ich, dass der Terror hier keine Chance hat, dafür bin ich auch bereit den Datenschutz zu lockern. Aber bitte denkt nicht nur an die Terrorabwehr , sondern auch an die Prävention!",2017-08-30 11:13:27.106526,NULL
32,hotti,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht.",2017-08-30 12:21:48.331906,NULL
33,colbert,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Diese neun Punkte sollten erst das absolute Minimum an Maßnahmen sein, die dringend umgesetzt werden müssen. Wenn sich dann herausstellen sollte, dass dies noch nicht ausreichend ist, muss man sich über weitere Punkte bzw. weitere Verschärfungen den bestehenden Punkte Gedanken machen. Grundsätzlich sollte gelten: Das Wohl der Allgemeinheit steht über dem Wohl eines einzelnen und daher sind Diskussionen wie ein zu starker Eingriff in die Privatsphäre beim Thema Terrorbekämpfung oder -vermeidung/-vorbeugung völlig fehl am Platz.",2017-08-30 13:01:30.663904,NULL
34,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Spontan - ohne jetzt auf die einzelnen Inhalte einzugehen - bleibt ein Wort ganz klar in meinem Köpfchen: ""schnellstmöglich"". Es kommt in fast allen Punkten vor. Schon verliere ich die Geduld und neige dazu, die Inhalte zu übersehen, weil ich sie für ebenso unpräzise, unverbindlich halte. Sind sie im Übrigen auch. Alles wabbelig. Ich erwarte von einem Plan, dass die (rechtliche) Durchführung der einzelnen Punkte zuvor! eindeutig geklärt ist. Keine Wunschträume - real umsetzbare Dinge. Sofern es Hindernisse gibt, erwarte ich, dass diese Informationen mitgeliefert werden, so dass verständlich ist, dass die Umsetzung dieses Planes völlig ungewiss ist. Das sind meine ersten - oberflächlichen - Anmerkungen zu dem Gesamtthema ...",2017-08-30 15:13:30.747166,NULL
35,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo zusammen, ich bin der Meinung,was nützt der Plan oder die 9 Punkte wenn sie am Schluss doch nicht umgesetzt werden. Die einen wollen den Einsatz von Soldaten die anderen wieder nicht. Ich würde zuerst mal die Soldaten Richtig ausrüsten und Schulen bevor ich sie in so einen Einsatz schicke denn vom Grünen Tisch ist gut Planen aber wie sieht es an der Front aus?? Online Kauf unterbinden da kann ich nur lachen wieviel Waffen werden denn unter den Augen unserer Regierung ins Ausland Verkauft wie z.b.Türkei und keiner Kontrolliert was sie dann hingehen. Jetzt will man sogar noch eine Panzerfabrik in der Türkei bauen also die Waffen noch näher hin bringen!!?? Mehr Abschiebungen ?? Wer macht es denn ?? Bei uns in Rheinlandpfalz heißt es doch immer,wir schicken niemanden in die Kälte!! Und bis bei uns Abgeschoben wird wird erst mal Krank gemacht dann kommt so ein schlauer Anwalt der auf Steuerzahler Kosten vor Gericht geht obwohl er genau weis das es nichts bringt aber egal er hat ja sein Geld. Und wenn man sich dann mal bemüht die Herrschaften Morgens zu holen,dann sind sie nicht mehr auffindbar aber holen sich dann in einem anderen Bundesland weiter hin Sozialhilfe. 16 Bundesländer 16 mal andere Praktiken keiner was was und keiner macht was.",2017-08-30 15:57:18.607867,NULL
36,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Überfällig ja aber wer hat soviel Eier in der Hose das auch zu machen?? Sofort schreien die Grünen mit mir nicht. Die Linken die so viel Dreck aus der Vergangenheit an ihren Händen haben mit uns nicht und so geht es weiter wie ein Roter Strich. Unfähig sage ich nur alle die da oben in Berlin sitzen.,2017-08-30 16:01:15.544948,4
37,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Das kann man ändern.,2017-08-30 16:01:58.972345,2
38,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Franzi, genau so ist es vor allem vor den Wahlen wird sooo viel versprochen das sich die Balken biegen. Und was wird gemacht nixx.",2017-08-30 16:22:04.855983,24
39,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wir schaffen dass denn wir haben schon soooo viel geschafft .:-(( Ja was machen wir mit den soo vielen Gut Menschen die haben ja dann keine Aufgabe mehr ??,2017-08-30 16:40:39.476369,32
40,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Genau so ist es. Aber so lange unsere Politiker ihren eigenen Wachhund haben oder sogar 3 ist denen doch ziemlich EGAL was mit dem Otto Normal Verbraucher passiert. Der soll seinen Mund halten Arbeiten gehen Steuern bezahlen.,2017-08-30 16:46:23.298523,23
41,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Was hat uns die Merkel schon alles versprochen?? Und was ist davon über geblieben nichts. Wie kann man UNKONTROLLIERT so viele Menschen in ein Land Einreisen lassen??? Ich bin auch heute noch der Meinung das Merkel meint sie wäre die Frau EUROPA . Und wie gerne hätte sie den Friedensnobelpreis bekommen weil sie ja soo Hilfsbereit ist. Das es da Probleme geben kann das haben alle kommen gesehen aus Merkel .,2017-08-30 17:20:53.938519,32
42,Gina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hört sich gut an aber wie eben schon geschrieben hat Herr Schäuble verdankt viel Polizeipersonalkosten in den letzten Jahren extrem abgebaut. Das muss komplett überdacht werden auch ob er noch die richtige Besetzung für den Posten ist. Er lebt in einer anderen Zeit. Die lachen uns doch aus. Veraltete Rechner known Show, da sind der Polizei und Bundeswehr ja schon unsere Teenager überlegen. Hier muss massiv investiert und geschult werden. Solange jeder Geheimdienst nur seine eigenen Interessen verfolgt, wird auch hier die Zusammenarbeit eher spannend. Sehe ich kritisch. Wir sind einfach zu bürokratisch. Bis wir nur ansatzweise diese Punkte erfüllt haben, ist schon wieder die nächste Bundestagswahl. Da muss Dynamik rein. Die Abschiebeprozesse dehnen sich endlos aus. Auch hier muss Dynamik und Entschlusskraft rein. Die Polizisten müssen sich bespucken zerkratzen lassen auf den Heimflügen , wir müssen auch mal hinter unseren Leuten stehen, denn wer möchte diesen Job schon machen???? Insgesamt klingt der Plan richtig und gut, jetzt geht es an die schnelle Umsetzung ohne Endlosdebatten.",2017-08-30 17:36:59.851896,NULL
43,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Natürlich war es naiv, anzunehmen, dass wir die einreisenden Flüchtlinge tatsächlich überprüfen (können/konnten) – das ist es sicher auch noch immer. Wir sollten uns das vereinfacht einmal nur so vorstellen, wie es mit der Einführung eines neuen Computerprogrammes in einem Betrieb ist … - wer in der Tat damit umgehen kann, wer Interesse dafür zeigt es zu lernen und wer sich gerade so durchmogelt, damit er nicht auffällt. Das Produkt ist entsprechend und auch hier kommt letztlich nichts anderes heraus, als man zuvor in die einzelnen Mitarbeiter investiert hat. Das Ergebnis der Überprüfungen bei der Einreise sollte uns also überhaupt nicht verwundern, noch sollten wir glauben, dass ein Datenabgleich europaweit uns wirklich weiter helfen wird. Überall sitzen Menschen, die die Eingabeform selber interpretieren … Trotzdem erachte ich das als ungemein wichtig – wenig ist deutlich mehr, als gar nichts. Aber verlassen dürfen und können wir uns keinesfalls auf die Ergebnisse. Genau genommen würde ich alle Flüchtlinge (also alle die ab xy eingereist sind) noch einmal überprüfen. Es muss möglich sein, hierfür eine tragfähige Lösung zu finden, die allen Gesetzen entspricht – Notfalls müssen entsprechende Gesetze geschaffen werden – zeitnah. Nicht schnellstmöglich, sondern umgehend. Es müssten eben teure Entwickler engagiert und Menschen eingestellt werden, die Flächendeckend die Grundlagen der Daten-Eingabe vermitteln etc. . Wir begegnen Problemen nicht – wir laufen ständig hinterher, stopfen ein Loch mit einer Notlösung und schon haben wir das andere übersehen. Mich ärgert das ungemein, obwohl ich verstehe, dass manches einfach nicht vorhersehbar und anderes schlicht unlösbar ist. Online-Waffenkäufe verhindern zu wollen ist ein – ich sage mal – „niedlicher“ Anspruch. Und ja, versuchen sollte/muss man letztlich alles. Wirklich verhindern lässt sich sicher erschreckend wenig. Die, die Waffen brauchen, werden sie auch bekommen. Die jüngste Vergangenheit hat uns darüber hinaus doch wohl auch gelehrt, dass letztlich alles eine Waffe sein kann. Für mich im Gesamtpunkteplan also ein untergeordneter Punkt, sollte man machen, aber eilt nicht wirklich.",2017-08-30 19:19:02.894193,NULL
44,MontanaDO,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Es wird viel geredet und nicht gehandelt. Man sieht es ja wenn etwas passiert ist, och die waren uns schon bekannt. Vieles hätte verhindert werden können, wenn man mal mehr handeln würde, als zu reden. Und zum Thema Abschiebung, na ja hier werden doch viele Verbrecher über den Kopf gestreichtelt und dann wieder gehen gelassen.",2017-08-30 20:57:32.014081,NULL
45,HubertK,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"ich finde den 9-Punkte plan hervorragend, wenn er denn durchgesetzt werden würde. Man kann siich nicht nach jedem einzelnen richten, aaber ich glaube, dass die Masse der selben Meinung sit",2017-08-31 08:03:52.05373,NULL
46,artjom,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),wenniger scheisse ins landlasen,2017-08-31 08:07:17.150012,NULL
47,kayguendel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Klingt wie immer ganz dolle, aber das wissen wir schon lange das wir solch ein plan brauchen,jetzt ist er da und wird wie umgesetzt. Waffenhandel online unterbinden ist unmöglich. echt mehr abschiebungen das löst das problem nicht, es müssen die richtigen abgeschoben werden ich weis punkt 1. alles ehrenhaft aber umsetzbar ich weis nicht. aber bei punkt 1 gehts los.",2017-08-31 08:29:56.620912,NULL
48,kayguendel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),genau meine Meinung,2017-08-31 08:30:47.957951,43
