post_number,user,topic,raw,created_at,reply_to_post_number
11,MrRight,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der Neun-Punkte-Plan ist so aussagekräftig wie jede andere generell verordnete Verabschiedung, die dennoch natürlich angemessen erscheinen und ist somit als nichts außergewöhnliches zu werten. Bedeutsamer ist die Ursachen zu erkennen, wobei der IS sich aus der Bevölkerung Sudanischer Abstammung zusammensetzt, die auch in Irland ebenfalls zu religiös entstammenden Terror neigen, weil Sie in Ihrer sehr stark emotionalen Behaftung meinen, das das von Ihnen so erlebte Wohlgefühl ebenfalls anderen angenommen werden müßte, ebenfalls über die Gewalt, was natürlich ein absoluter Irrglauben ist und allein der eigenen Beschränktheit zuzuordnen ist. Auf der anderen Seite läßt sich dieses Klientel auch belehren, soweit man Ihnen die schlüssigen Argumente und NAchhaltigkeiten dazu liefert, weil wie alle Menschen sind dies nicht grunsätzlich schlecht, sondern nur verirrt im Sinne Ihrer genetischen Veranlagung. Dazu gehört also in erter Linie Prävention, hier in Deutschland und Europa, das man entsprechende Brennpunkte erkennt und hier entsprechende Sozialarbeit leistet, auf alle Fälle ist zu verhindern, das diese mit den verkehrten Personen in Kontakt geraten. Im Ausland ist diese Situation natürlich weit komplizierter. In gewisser Weise trägt auch der Islam eine gewisse Verantwortung dazu, wenngleich der IS in sich sicherlich etwas eigenes ist. Dennoch sollte der Islam eine eindeutige Gewaltablehnung offenzeigen. Im weiteren sind diese Personen mit den entsprechenden Argumenten zu belehren. Gewaltauseinadersetzungen dagegen werden keinen wirklichen Erfolg haben, weil dieser Person an sich nicht bereit ist aufzugeben und dann eher im Hintergrund agiert. Besondere Beachtung genießen daher die Hintermänner. Auf sie müßte gezielt ""Druck"" ausgeübt werden, an sich wäre der Islam hier auch der geeigneteste Ansprechpartner. Man kann diesem Personenkreis nur mit Argumenten ""erschlagen"", mit Waffengewalt wohl kaum. Alles wird sehr anstrengend sein. Dennoch sind nur wenige Hintermänner hier verursachend, je mehr man diese ächtet und Ihre Verirrung aufzeigt, um so mehr brökelt das Kartenhaus in sich. Alles andere kann nur Beiwerk sein.",2017-08-29 14:09:52.085433,NULL
12,Felix,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Einige Punkte machen Sinn und sind längst überfällig, andere hingegen haben bisher überhaupt nicht funktioniert.",2017-08-29 14:27:25.785214,NULL
13,Maria,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"In der Theorie hört sich das alles recht vernünftig an , aber der Plan wurde vor 13 Monaten vorgestellt ... Welche Vorhaben sind bisher in die Tat umgesetzt worden ? Wir sind an die Gebote unseres Rechtsstaates gebunden und ich sehe leider nicht , wie man verhindern könnte , dass bestimmte "" Fehlgeleitete "" dies ausnutzen . Es ist auch in unserer Kultur noch nicht sooo lange her , dass religiöse Ziele mit brutaler Gewalt durchgesetzt wurden . Bildung könnte vielleicht ein Gegenmittel sein , aber das ist nicht in kurzer Zeit zu erreichen. Bis dahin kann man , glaube ich , nur versuchen , durch Prävention möglichst viele Anschläge im Vorfeld zu verhindern.",2017-08-29 14:38:03.118053,NULL
14,diglage,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Im Prinzip ist der Plan ein guter Anfang,allein mir fehlt der Glaube an der konkreten und schnellen Umsetzung.",2017-08-29 14:39:48.290433,NULL
15,Maria,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Das ist unser Problem. "" Schnell "" geht gar nicht . Dafür sind viel zu viele Institutionen beteiligt . Aber anfangen kann man ja trotzdem !",2017-08-29 14:43:24.615958,14
16,Tyler,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Liest sich ganz gut, ist aber insgesamt viel zu unkonkret. Es zeigt sich einmal mehr, dass Personalabbau bei der Polizei und den Behörden langfristig zu Problemen führt. Was ist mit der einwandfreien Feststellung der Personalien bei der Einreise der Flüchtlinge und ist bei verbotenen online Waffenkäufen auch das Darknet eingeschlossen?",2017-08-29 15:11:04.621846,NULL
17,anonym,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich schließe mich der Meinung von birdie weitgehend an, jedoch halte ich zumindest Herrn Seehofer nicht für einen Schwätzer. Gerade, was er bei den nach Deutschland strömenden Ausländern gesagt hat, das ist fast alles so gekommen. Und genau hier würde ich den 9-Punkte-Plan noch gerne ergänzt wissen: In der Überprüfung von Einreisenden. Ebenso würde ich Reisende, die in kritische Länder, wie Syrien, Afghanistan etc. ausreisen wollen auf internationaler Ebene mehr durchleuchten.",2017-08-29 15:26:31.024203,6
18,Neuer78,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Effektlosew Gelaber,2017-08-29 20:08:28.762402,17
19,Maksimo,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ich stimme dem 9 Punkteplan zu in allen Bereichen. Ich sage aber auch warum nicht stop mit den Asylaufnahmen.Wir sind kein Einwanderungsland. Warum nicht Schluss mit den aufnahmen. Das spart viel Kosten und Ärger.,2017-08-29 20:20:57.116265,NULL
20,Enrico71,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Geht in die richtige Richtung - aber der Plan allein reicht nicht. Wieviel davon ist Wahlkampfgetöse?,2017-08-30 04:20:08.418798,NULL
