coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,vm,key,value,key...7,value...8,key...9,value...10
,81,studentin,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Zum Frühwarnsystem: Das erscheint mir sinnvoll zu sein. Aber Terroristen kommen nicht nur als Flüchtlinge nach Deutschland. Das Frühwarnsystem sollte auch andere Radikalisierte Menschen erfassen. Zur Polizei: Keine Frage das muss auf jeden Fall sein, wir haben sowieso schon zu wenige Polizisten. Die brauchen wir unter anderem auch zur Terrorbekämpfung. Zur Netzkommunikation: Ja kann man machen, das erscheint mir aber nicht so dringend. Zur Bundeswehr: Das finde ich gut. Da wir sowieso zu wenig Polizei haben,kann die Bundswehr ruhig auch im Inneren Tätig werden um für Sicherheit zu sorgen, auch wenn es gegen das Gesetz verstößt. Zur Forschung: Das finde ich in Ordnung, aber ich glaube nicht das es großen Erfolg bringen wird, da es werder das Problem löst noch die Ursachen des Problems bekämpft. Zum Datenfluss: Diese Vernetzung muss auf jeden Fall sein und das nicht nur wegen dem Terror. Zum Waffenkauf: Man sollte auf gar keinen Fall im Internet Waffen kaufen können. Da ist die Identität des Käufers einfach zu leicht zu verändern. Man könnte unter falschem Namen an Waffen gelangen und diese auch einsetzen. Zur Kooperation: Was haben Geheimdienste mit dem Kommunikationsverhalten der Täter zu tun? Zu Abschiebungen: Wenn ein Flüchtling keine Aussichten auf eine Aufenthaltsgenehmigung in Deutschland hat, dann sollte er auch schnellstmöglich abgeschoben werden. Flüchtlinge, welche kriminell geworden sind oder sich radikalisiert haben, sollten ebenfalls ohne Möglichkeit auf eine Rückkehr aus Deutschland ausgewiesen werden.",,,,,,,2017-08-31T18:58:46Z,NULL,,vm1,,,,,,
,82,anonym10,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der neun Punkte Plan ist so aussagekräftig, wie vieles von Frau Merkel. Unter dem Motto: Wir schaffen das und packen mal was an, es wird schon gut gehen, ansonsten sitzen wir das aus. Zukunftsweisende Konzepte hat es bei Frau Merkel nie gegeben. Das Volk ist mittlerweile ein notwendiges Übel.",,,,,,,2017-08-31T19:08:40Z,NULL,,vm1,,,,,,
,83,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"in anderen Ländern ist das ganz normal , das das Militär im Landesinnern mithilft.",,,,,,,2017-08-31T19:21:31Z,NULL,,vm1,,,,,,
,84,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"1. Frühwarnsystem, find ich ansich sinnvoll, aber wie sieht denn dann ein Tätigwerden aus? 2. Mehr Personal, auch sinnvoll, sind ja jetzt auch schon zu wenig Polizisten da sind. Hätten se mal den BGS gelassen, dann wäre es nicht so weit gekommen, aber hat sparmasnahmen. 3. Stelle zur Entschlüsselung der Netzkommunikation, nicht so wichtig, wie soll denn z.b. whatsapp entschlüsselt werden, oder andere Messenger, aber auch die Kommunitation über die PS4? 4. Bundeswehr, sinnvoll, in anderen Ländern ist das immer so 5. Forschung und Prävention, frag mich wie das aussieht. Der Jugend was sinnvolles zu geben und verbreitung über facebook und co unterbinden 6. Mehr Datenfluss in Europa, wäre das schon längst passiert, hätten wir weniger radikale 7. Online-Waffenkauf unterbinden, versteht sich eigentlich von selbst. Waffen sollten nur über Geschäfte verkauft werden, Darknet sieht schon etwas schwieriger aus, aber nicht unmöglich 8. Stärkere Kooperation der Geheimdienste, eine gute idee, aber die spionieren sich ja nur gegenseitig aus, anstatt zusammenzuarbeiten oder miteinander zu arbeiten.Wäre schon vieles verhindert worden. 9. Mehr Abschiebungen, wäre wünschenswert, aber die abgeschobenen halten sich ja noch jahre nach der abschiebung in unserem land auf. Es müsste viel härter und konsequenter durchgegriffen werden, bei allem.",,,,,,,2017-08-31T19:37:00Z,NULL,,vm1,,,,,,
,85,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"stimmt , wenn man Frankreich anschaut, die lassen sich nicht alles gefallen.",,,,,,,2017-08-31T19:38:11Z,80,"Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz. >>> Das ist wohl nicht das erste oder auch letzte Grundgesetz, wogegen Merkel verstößt! >>> Das ist doch der Merkel so von Egal gegen was oder wer sie verstößt Hauptsache sie kann auf der Weltbühne Brillieren. Gab es in der DDR überhaupt so was wie Grundgesetze da war es doch so wer am meistens Mitbewohner Verraten konnte der durfte auch Studieren. >>> Stimmt...denn die Deutschen bekommen ihren Hintern nicht hoch. Nach dem Motto: Wir können doch nichts ändern. In anderen Ländern gehen die Menschen auf die Straße um zu demonstrieren, wenn ihnen etwas nicht passt. Mutti hat gegen so viele Gesetze verstoßen, das diese Person normalerweise gar nicht mehr im Amt sein dürfte.",vm1,,,,,,
,86,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"genau meiner meinung, nicht die bundesregierung hat das sagen, sondern die lobbys(auto,pharma, waffen....) die sagen, wo es langgeht",,,,,,,2017-08-31T19:41:28Z,77,"Waffenkauf sollte nicht nur online eingeschränkt werden!! Es ist immernoch zu einfach, sich Waffen zu beschaffen. >>> Wenn man in der Vergangenheit der Waffenindustrie einen Riegel vorgeschoben hätte,bin ich der Meinung gäbe es so manches Problem nicht. Aber bei uns in Deutschland regiert die Industrie und die sagt wo es lang geht so war es doch mit dem Gabriel wo er noch Innen Minister war das hat ihn doch einen nassen Furz interessiert wo oder was für Waffen irgend wo hin gehen. Denn wehe hätte man das versucht zu unterbinden da hätte die Waffenlobby sofort GESCHRIEN DA GEHEN WIEDER ARBEITSPLÄTZE KAPUTT das geht doch nicht!? So wie bei dem Mindestlohn das war noch nicht beschlossen da hat die Industrie schon geheult. Wie sagt die EX aus dem Osten( Ich lebe gut gerne in Deutschland). Aber frag die Leuchten im Bundes oder Landtag was ein Pfund Butter kostet !!",vm1,,,,,,
,87,Evelyn83,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Besser wäre es die Polizeibeamten aufzustocken. An der Bundeswehr wird immer weiter gespart und sie schrumpft immer mehr. Aber ihr Zweck ist die Verteidigung der Grenze. Ok, streng genommen macht sie das beiden vielen auslandseinsätzen auch nicht so richtig, aber im Land selbst sollte die Polizei tätig werden und auch deren Position gestärkt werden. Sobald sich die Polizei mal wehrt ist sie ja gleich der Arsch des Landes. Kein besonderer Traumjob, wenn die Grünen am Ende unqualifiziert nachtreten.",,,,,,,2017-08-31T19:59:01Z,NULL,,vm1,,,,,,
,88,Evelyn83,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Das kann ich komplett unterstreichen,,,,,,,2017-08-31T20:00:39Z,31,"Die Punkte an sich sind ja schön und gut, was ist den mit den Menschen, die keine Flüchtlinge sind? Es müßte doch auch geklärt werden, wie sich die Menschen radikalisieren und dann zu Terroristen werden. So muss dann auch präventiv da gegen vorgegangen werden und das schon frühzeitig in den Schulen, Moscheen und in den sozialen Brennpunkten. Da wird aber gespart, was das Zeug hält, weil man es nicht für nötig hält. Was soll denn ein Mensch mit sich anfangen, der seiner Meinung nach keine Perspektive hat? Er wird wohl sich dahin wenden, wo er ""gewollt"" ist, so arbeiten die Organisationen des Terrors. Wir bräuchten auch dringend die härtere Durchsetzung der bestehenden Gesetze, insbesondere gegen Gewalttäter. Was nützen denn Bewährungsstrafen, was soll daran denn abeschrecken? Auch müsste härter gegen diese ""Großfamilien-Clans"", Gedulteten usw. vorgegangen werden, die Politzei sammelt fleißig Beweise und nimmt die Täter fest und Richter lassen die Täter laufen. Warum kann zum Beispiel Tunesien Deutschland vorschreiben, dass sie eine handvoll Tunesier pro Woche wieder aufnehmen, die doch eindeutig tunesische Staatsbürger sind, warum bekommt denn Tunesien Hilfsgelder und schreibt der deutschen Regierung vor, wie eine Rückführung ab zu laufen hat? Sollte es nicht anders herum sein? Ansonsten Hilfsgelder streichen und Reisewarnungen für die beliebten Reiseziele herausgeben! Allgemein fehlt es auch am Respekt gegenüber der demokratischen, westlichen Gesellschaft. Aber das ist doch das schöne daran in unsere Demokratie, es wird keiner gezwungen hier zu bleiben, wo es ihm anscheinend nicht gefällt. Wenn diese Leute unsere Demokratie so verändern wollen, dass man seine Meinung nicht frei äußern darf, als Frau nur machen darf, was der Mann der Familie vorschreibt...dann sind diese Leute doch definitiv falsch hier in einer Demokratie. Warum ändern Schulkantinen zum Beispiel ihren Essensplan so um, dass es kein Schweinfleisch mehr gibt, weil sich dadurch Mosleme dadurch gestört fühlen, dann finde ich es ehrlich gesagt übertrieben. Warum muss ich darüber nachdenken, die Deutsche ist und Demokratin, ob sich jemand gestört fühlen könnte, dass ich in einer deutschen Kantine Schweineschnitzel essen möchte? **Leben und leben lassen, scheint ja für Viele ein Fremdwort zu sein, auch im Jahr 2017**. Der Glaube wird vorgeschoben, weil Einige ihr Mittelalter- Denken nicht ablegen wollen! So nun wieder zum 9 punkte plan: das sind doch alles nur Anfänge, die ja auch erst einmal mit dem Datenschutz und Grundgesetz in Einklang gebracht werden müssen, Bundeswehr darf nicht zur Terrorabwehr im Inland eingesetzt werden, man hat aus der NS-Zeit ja gelernt und wollte damit vorbeugen. Auch wir dürfen uns nicht einengen lassen, ich möchte ausgehen und auch Polizeipräsens sehen, um mich einiger Maßen sicher zu fühlen. Auch will ich, dass der Terror hier keine Chance hat, dafür bin ich auch bereit den Datenschutz zu lockern. Aber bitte denkt nicht nur an die Terrorabwehr , sondern auch an die Prävention!",vm1,,,,,,
,89,KM93,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Meiner Meinung nach ist der 9 Punkte Plan nicht ausgereift und auch nicht überschaubar. Die Aussagen sind viel zu kurz und lassen sehr schnell einige Fragen aufkommen. Was mich wahnsinnig interessiert worauf aber überhaupt nicht eingegangen wird ist das Frühwarnsystem. Wie sieht das aus? Was wird da konkret gemacht? Wer macht da was? Arbeitet Deutschland mit anderen Ländern dabei zusammen? Wird dabei eventuell massiv gegen den Datenschutz verstoßen? Was sind Anzeichen für eine frühzeitige Terrorerkennung und -warnung? Fragen über Frage, welche sowieso nur mit Lügen und Lächeln beantwortet werden oder ganz und gar offen bleiben. Zweiter wichtiger Knackpunkt ist Punkt 2. Mehr Personal bei der Polizei? Ich mein, ey Hallo???? Merkt die frau sich noch? Jahre lang werden schleichend ohne das es die Leute großartig mitbekommen die Polizeidienststellen im Land abgebaut, abgebaut und abgebaut. Die Polizeianwärter Stellen werden von Jahr zu Jahr geringer, die Auflagen und Anforderungen höher. Erstens bekommt man so schnell durch diese Auflagen kein Personal mehr und zweitens: ""Zuerst bauen wir ab, dann merken wir ähm scheisse war kacke und bauen wieder auf""??????? Ich verstehe diesen Sinn einfach nicht. Zudem war doch erst allein nur für diesen Ansatz die Silvesternacht in Köln verantwortlich. Naja Punkt 3: Massiver Verstoß gegen Datenschutzrechte, aber interessiert die Politik ja schon lange nicht mehr. Punkt 9 auch sehr umstritten. Da sollte lieber erstmal genauer geprüft werden. Die restlichen sind ein kleiner guter Ansatz, mehr auch nicht.",,,,,,,2017-08-31T20:25:43Z,NULL,,vm1,,,,,,
,90,Maksimo,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wir sind kein Einwanderungsland. Sehr viele Asylsuchenden werden abgewiesen weil keine einwanderung gegeben ist. Migrationen beruht sich auf die deutche Abstammung und durch Kriegswirren aus dem Heimatland entfremdet. Das nächse sind Gastarbeiter welche wiedr in die Heimat zurück gehen. Wenn die Personen nach Ablauf dr Aufenthaltsberechtigungen die Staatsbürgerschaft wechseln ist das auch nicht eingewandert sondern emigriert. Anders in Amerika - Antrag auf Einwanderung mit Vermögensnachweis um in den Staaten leben zu können.,,,,,,,2017-08-31T20:48:19Z,NULL,,vm1,,,,,,
,91,Lucy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir gefällt der 9-Punkte-Plan recht gut. Leider habe ich nicht die Hoffnung, dass auch alles 1:1 umgesetzt wird bzw. dass es sich alles wieder viel zu lange hinzieht.",,,,,,,2017-08-31T20:51:38Z,NULL,,vm1,,,,,,
,92,fritz1965,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der Plan wurde bereits vor einem Jahr verabschiedet. Was ist bisher umgesetzt und welche Erfahrungen liegen vor ? Von 700.000 Asylbewerbern sollten 300.000 abgeschoben werden. Schon in diesem Punkt ist die Regierung gescheitert. Mir fehlt das Vertrauen in diesen Plan und mir fehlt das Vertrauen in diese Regierung. Deutschland nimmt die meisten Flüchtlinge in Europa auf, da bisher eine faire Verteilung in der EU nicht durchsetzbar gewesen ist. Seit April 2016 kommen monatlich ca. 15.000 neue Flüchtlinge in unser Land. Die Kanzlerin macht also weiter so, sieht keine Fehler in ihrer Politik und will nun mit einem 9-Punkte-Plan den Terror, den sie ins Land gelassen hat, bekämpfen. Ich bezweifle das dies ausreicht.",,,,,,,2017-08-31T20:56:12Z,NULL,,vm1,,,,,,
,93,fritz1965,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Klar, sie ist die einzige Kanzlerin die wir bis jetzt hatten und wie sie später einmal in den Geschichtsbüchern gewürdigt wird, werden wir sehen. Ich halte sie für keine gute Regierungschefin, denn hinter ihrem Mutti-Image steckt eine sehr machtbewußte Persönlichkeit, die sich selbst für alternativlos hält. Ihre Flüchtlingspolitik ist ein Deseaster und wird Deutschlabd für alle Zeit verändern. Leider ist weit und breit kein Nachfolger in Sicht, auch dafür hat sie gesorgt. So wird Mutti also mit Mehrheit wiedergewählt, weil es so schön bequem ist und niemand weiß was nach ihr kommt. Der deutsche Michel ist ein echter Untertan, der wahre Souverän sitzt in den neuen Bundesländern.",,,,,,,2017-08-31T21:10:20Z,6,"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen.",vm1,,,,,,
,94,wolf16,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Im Erstellen von Plänen ist unsere Bundeskanzlerin gut. Das Problem ist, dass alle Absichtserklärungen, die bisher vorgelgt wurden, nicht ansatzweise in die Realität umgesetzt wurden.",,,,,,,2017-08-31T23:27:48Z,NULL,,vm1,,,,,,
,95,merythor,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich halte es wie einer meiner ""Vorredner"": Es ist längst überfällig. Allerdings: Ich glaube nicht an die Umsetzung. Die Regierungen in der EU und selbst die Bundesländer in Deutschland sind nicht in der Lage sich zu vernetzen. Um es ein wenig provakant auszudrücken: Viele Pommesbuden in Deutschland vernetzt, aber die Regierung kriegt das in einer solch wichtigen Sache nicht hin. Sie haben es jetzt vor. Aber alleine der Glaube daran fehlt mir.",,,,,,,2017-09-01T00:26:38Z,NULL,,vm1,,,,,,
,96,kayguendel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"guten Morgen, und dein Resume des ganzen, also ich weis nicht mehr weiter, hoffe das der plan bald umgesetzt wird sonst hABEN WIR JA GAR NICHTS, dem allen entgegenzusetzen.",,,,,,,2017-09-01T05:39:49Z,72,"Erinnert stark an den 10 Punkte-Plan von Ilse Aigner als Landwirtschafts- und Verbraucherschutzministerin. Alles Mist. So werden doch keine Ursachen beseitigt!! Wir müssen endlich aufhören, aus taktischen, oder bündnismotivierten Gründen uns an Kriegen der USA zu beteiligen. Der Wahnsinn hat mit 9/11 angefangen und ging dann im Irakkrieg munter weiter. Hier wurden die Terroristen gezüchtet, die wir heute haben. Nehmt den Menschen die Hoffnung und sie werden sich irgendwann radikalisieren. Unsere Innenminister nutzen dies schamlos aus, um aus Deutschland einen Polizeistaat aufzubauen und die Grundrechte der Bürger zu beschneiden. Der jüngste Datenschutzskandal rund um G20 / BKA hat gezeigt, dass unsere Dienste einfach zu blöd und zu korrupt (kriminell) für dieses Land sind. Ja, ich bin für mehr Polizisten und für mehr Juristen - aber ich frage mich, welche Regierung und Bundesländer haben die denn vorher abgebaut, um Kosten zu sparen und um Banken zu retten, die vorher nicht streng genug reguliert wurden und immer noch, uner der Aufsicht des Staates, selbigen fleißig hinter die Fichte führen (CUM-CUM / CUM-EX-Geschäfte). Schafft mehr Gerechtigkeit in diesem Land, dann gibt es auch weniger Sorge um Terror. - Etwas weniger USA / NATO und weniger Waffen würden Deutschland sehr gut tun - und der Welt. >>> Was hatt denn Gerechtigkeit hierzulande mit Terror zu tuen. Wenn es der Islam diesen verückten gebietet verbrechen zu begehen im namen ihres Gottes,da können wir untereinander gerecht sein wie wir wollen. Wir sind für die terroristen unwürdig laut ihrem Glauben, was sol da gegen terror helfen ? >>> Ghettoisierung und gesellschaftliche Ausgrenzung - keine Bildungs- und Arbeitsangebote schaffen die Grundlage für Menschen sich zu radikalisieren Wenn Menschen nur noch ihre Religion bleibt, weil man ihnen alles andere schon genommen hat, weil Verwandte von ihnen in sinnlosen Kriegen abgeschlachtet wurden, werden sie leicht Opfer von mörderischen Organisationen. Ursache und Wirkung. Der Wahnsinn hat gezielt nach 9 / 11 angefangen, als die USA einen Krieg gegen Terrorstaaten und deren Verbündete ausgerufen hatten, ignorierend, dass die meisten Attentäter aus Saudi-Arabien stammten. Merkwürdigrweise hat man dieses Land nicht attackiert, sondern S-A ist nach wie vor einer der wichtigsten Verbündeten im Nahen Osten, insbesondere weil sie erklärte Feinde des Iran sind. Man muss also schon ein wenig tiefer schürfen, wo der Terror herkommt auf dieser Welt und sich wirklich um die Bekämpfung der Ursachen bemühen und nicht nur (typisch Merkel) darüber zu reden. Mit unserer und der europäischen Handelspolitik beuten wir Afrika aus. Wir exportieren billiges Fleisch und machen dadurch regionale Märkte kaputt. Das gleiche gilt für Textilien. Im Gegenzug fischen wir ihnen legal die Fische vor ihren Küsten weg und ""schenken"" ihnen unseren Elektronikmüll. - Wer ohne Perspektive ist, wird sich auf den Weg nach Europa / Deutschland machen. Wer politisch indstrumentalisiert wurde, wird evtl. voller Hass Rache an dem Westen nehmen wollen. >>> Sehr gut auf den punkt gebracht- und was ist mit denen die terroristen sind, mit gottes wille, meinst du das es wirklich an Amerika und seinen Kriegen liegt. Bildung ist das Stichwort in den Länder wo der terror herkommt. Also ich bin nicht blöde aber das thema wird anstrengent zuviele variablen soviele Meinungen, wei tief schürfen, ich glaube es geht nicht nur mir so. >>> Ja, das Thema ist komplex. Es ist aber nun mal eine Tatsache, dass vor 9/11 eine handvoll Terroristen, ohne weitreichende Bedeutung, regional ihr Unwesen getrieben haben. Die Büchse der Pandora wurde von Bush aufgemacht bzw. ihm von seinen kriegstreibenden Neocons eingeredet zu öffnen. Ja, natürlich wird es auch in Deutschland radikalisierte Fanatiker geben, die bereit sind in ihrem religiösen Wahn auch ihres und andere Menschenleben zu opfern. An der Stelle machen mir dann aber mehr unsere Geheimdienst und diese unsäglich unfähigen Innenminister Angst. Wenn man sich 2015 zu Gemüte führt, stellt man fest, dass unsere Behörden immer noch Keilschrift auf Tontafeln üben. Keine einheitlichen Strukturen, keine einheitliche Definition von Stammdaten z.B. Gefährder, keine vernetzten EDV-Systeme, konkurrierende Behörden. Als Resultat dann NSU und Anis Amri. Und Scharfmacher wie TdM und Hermann und die anderen Innenministerfuzzis, die sich dringend einen Polizeistaat wünschen.",vm1,,,,,,
,97,libero,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),mehr personal einstellen,,,,,,,2017-09-01T07:29:49Z,NULL,,vm1,,,,,,
,98,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Sag mal, ist Dir eigentlich klar, welche Behauptungen Du da frisch und frei in die Welt setzt und gegen welche Gesetze DU damit verstoßen hast?",,,,,,,2017-09-01T09:12:09Z,73,"Die genannten Maßnahmen sind überfällig. >>> Hallo holzwurmpaul! Da gebe ich Ihnen vollkommen recht, mit Ihrer Aussage, das die in Berlin alle unfähig sind! Bald sind Wahlen.....natürlich werden da große Versprechen gemacht, die nach der Wahl nicht eingehalten werden! Wie nennt man das noch so schön: Nepper, Schlepper , Bauernfänger. Bislang hat es funktioniert. Ich habe Merkel noch nie meine Stimme gegeben und sie wird sie auch niemals erhalten. >>> Der 9. Punkte Plan hört sich geschrieben schon mal gut an. Nur will Merkel diesen tatsächlich realisiere?! Daran möchte ich zweifeln. Selbst wenn man diese Frau bei Debatten beobachtet, sie kann sich ja toll überall heraus reden und meint alles wird gut! Für wen? Nicht für das Volk. In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen! Gegen wie viele Gesetze hat diese Frau schon verstoßen?! Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das ""DEUTSCHE VOLK"" untragbar. Doch ich fürchte, sie wird weiterhin Kanzlerin bleiben! Dafür gibt es so, wie Medien berichten leider noch immer genug Menschen, die ihr vertrauen. Wenn ich hundertmal betrogen werde, vertraue ich nicht mehr.",vm1,,,,,,
,99,Linkeslieschen,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Sorry, ich sehe nur Worthülsen - Pläne sehen anders aus.",,,,,,,2017-09-01T09:20:09Z,96,"Erinnert stark an den 10 Punkte-Plan von Ilse Aigner als Landwirtschafts- und Verbraucherschutzministerin. Alles Mist. So werden doch keine Ursachen beseitigt!! Wir müssen endlich aufhören, aus taktischen, oder bündnismotivierten Gründen uns an Kriegen der USA zu beteiligen. Der Wahnsinn hat mit 9/11 angefangen und ging dann im Irakkrieg munter weiter. Hier wurden die Terroristen gezüchtet, die wir heute haben. Nehmt den Menschen die Hoffnung und sie werden sich irgendwann radikalisieren. Unsere Innenminister nutzen dies schamlos aus, um aus Deutschland einen Polizeistaat aufzubauen und die Grundrechte der Bürger zu beschneiden. Der jüngste Datenschutzskandal rund um G20 / BKA hat gezeigt, dass unsere Dienste einfach zu blöd und zu korrupt (kriminell) für dieses Land sind. Ja, ich bin für mehr Polizisten und für mehr Juristen - aber ich frage mich, welche Regierung und Bundesländer haben die denn vorher abgebaut, um Kosten zu sparen und um Banken zu retten, die vorher nicht streng genug reguliert wurden und immer noch, uner der Aufsicht des Staates, selbigen fleißig hinter die Fichte führen (CUM-CUM / CUM-EX-Geschäfte). Schafft mehr Gerechtigkeit in diesem Land, dann gibt es auch weniger Sorge um Terror. - Etwas weniger USA / NATO und weniger Waffen würden Deutschland sehr gut tun - und der Welt. >>> Was hatt denn Gerechtigkeit hierzulande mit Terror zu tuen. Wenn es der Islam diesen verückten gebietet verbrechen zu begehen im namen ihres Gottes,da können wir untereinander gerecht sein wie wir wollen. Wir sind für die terroristen unwürdig laut ihrem Glauben, was sol da gegen terror helfen ? >>> Ghettoisierung und gesellschaftliche Ausgrenzung - keine Bildungs- und Arbeitsangebote schaffen die Grundlage für Menschen sich zu radikalisieren Wenn Menschen nur noch ihre Religion bleibt, weil man ihnen alles andere schon genommen hat, weil Verwandte von ihnen in sinnlosen Kriegen abgeschlachtet wurden, werden sie leicht Opfer von mörderischen Organisationen. Ursache und Wirkung. Der Wahnsinn hat gezielt nach 9 / 11 angefangen, als die USA einen Krieg gegen Terrorstaaten und deren Verbündete ausgerufen hatten, ignorierend, dass die meisten Attentäter aus Saudi-Arabien stammten. Merkwürdigrweise hat man dieses Land nicht attackiert, sondern S-A ist nach wie vor einer der wichtigsten Verbündeten im Nahen Osten, insbesondere weil sie erklärte Feinde des Iran sind. Man muss also schon ein wenig tiefer schürfen, wo der Terror herkommt auf dieser Welt und sich wirklich um die Bekämpfung der Ursachen bemühen und nicht nur (typisch Merkel) darüber zu reden. Mit unserer und der europäischen Handelspolitik beuten wir Afrika aus. Wir exportieren billiges Fleisch und machen dadurch regionale Märkte kaputt. Das gleiche gilt für Textilien. Im Gegenzug fischen wir ihnen legal die Fische vor ihren Küsten weg und ""schenken"" ihnen unseren Elektronikmüll. - Wer ohne Perspektive ist, wird sich auf den Weg nach Europa / Deutschland machen. Wer politisch indstrumentalisiert wurde, wird evtl. voller Hass Rache an dem Westen nehmen wollen. >>> Sehr gut auf den punkt gebracht- und was ist mit denen die terroristen sind, mit gottes wille, meinst du das es wirklich an Amerika und seinen Kriegen liegt. Bildung ist das Stichwort in den Länder wo der terror herkommt. Also ich bin nicht blöde aber das thema wird anstrengent zuviele variablen soviele Meinungen, wei tief schürfen, ich glaube es geht nicht nur mir so. >>> Ja, das Thema ist komplex. Es ist aber nun mal eine Tatsache, dass vor 9/11 eine handvoll Terroristen, ohne weitreichende Bedeutung, regional ihr Unwesen getrieben haben. Die Büchse der Pandora wurde von Bush aufgemacht bzw. ihm von seinen kriegstreibenden Neocons eingeredet zu öffnen. Ja, natürlich wird es auch in Deutschland radikalisierte Fanatiker geben, die bereit sind in ihrem religiösen Wahn auch ihres und andere Menschenleben zu opfern. An der Stelle machen mir dann aber mehr unsere Geheimdienst und diese unsäglich unfähigen Innenminister Angst. Wenn man sich 2015 zu Gemüte führt, stellt man fest, dass unsere Behörden immer noch Keilschrift auf Tontafeln üben. Keine einheitlichen Strukturen, keine einheitliche Definition von Stammdaten z.B. Gefährder, keine vernetzten EDV-Systeme, konkurrierende Behörden. Als Resultat dann NSU und Anis Amri. Und Scharfmacher wie TdM und Hermann und die anderen Innenministerfuzzis, die sich dringend einen Polizeistaat wünschen. >>> guten Morgen, und dein Resume des ganzen, also ich weis nicht mehr weiter, hoffe das der plan bald umgesetzt wird sonst hABEN WIR JA GAR NICHTS, dem allen entgegenzusetzen.",vm1,,,,,,
,100,Afra,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ist wie immer von unserer Regierung nichts halbes und nichts ganzes. Richtige konkrete Vorschläge fehlen wie immer.,,,,,,,2017-09-01T09:59:52Z,NULL,,vm1,,,,,,
,101,Henno,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Schön.. klingt alles sehr toll, aber ob das wirklich alles umgesetzt wird bleibt fraglich. Würde nur gezielt einzelne Punkte des Planes wie z.B. Punkt 9. Mehr Abschiebungen und Punkt 5 Forschung und Prävention nehmen, die anderen sind meiner Meinung nach nur sehr schwer umsetzbar bis unmöglich.",,,,,,,2017-09-01T10:00:38Z,NULL,,vm1,,,,,,
,102,anita,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"[quote=""system, post:1, topic:15""] Konzept [/quote] Also es scheint die problemerkenmung und zeitnahme Umsetzung erfolgt zu sein. Also sehr gut",,,,,,,2017-09-01T10:04:23Z,NULL,,vm1,,,,,,
,103,michgibtes,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Wir keine Konkreten Angaben geben, denn dann müsste es ja umgesetzt werden in naher Zukunft",,,,,,,2017-09-01T11:47:07Z,3,"Ich vermisse konkrete Empfehlungen, wie dies umgesetzt werden soll.",vm1,,,,,,
,104,gfd,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ein Plan ist ein Plan. Was dann wirklichgemacht wird ist erst nach dem 24.09. zu sehen,,,,,,,2017-09-01T12:02:40Z,NULL,,vm1,,,,,,
,105,archeopt,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir fehlt beim 9-Punkte-Plan der Punkt 10. ""Maßnahmen für eine bessere Integration"". Ein Thema, das nicht nur Deutschland betrifft, sondern die gesamte Europäische Union. Menschen, die sich ungerecht oder schlecht behandelt oder isoliert von der Gesellschaft fühlen, die keine oder kaum Zukunftsperspektiven haben, sind wohl unbestritten anfällig für die Inhalte, die Ihnen terroristische oder radikale Gruppierung vorgaukeln, Somit ist jede gelungene Integration auch eine Art der Terrorbekäpfung.",,,,,,,2017-09-01T12:33:50Z,NULL,,vm1,,,,,,
