post_number,topic,user,raw,created_at,reply_to_post_number,key,value,key,value
105,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),LottaG,Einem guten Plan sollte eine Umsetzung dessen nicht im Wege stehen.,2017-09-02 10:14:10.206078,NULL,NULL,NULL,NULL,NULL
106,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),johanna,Geht in Ordnung,2017-09-02 11:43:02.119263,NULL,NULL,NULL,NULL,NULL
107,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),CalleCml,"Ich finde ein solches Konzept überflüssig. Die meisten Punkte werden umgesetzt, andere wiederum nicht. Wenn ein solches System vorgestellt wird, müssen auch alle Punkte eingehalten werden, ansonsten bricht das System zusammen. Ich denke, dass es hierbei nur um Vorteile bei der Bundestagwahl geht. Im Großen und Ganzen, sind die 9 Punkte sehr wichtig um die Republik innen und außen zu schützen. Allerdings sind alle Punkte kein Geheimnis mehr und werden schon lange versucht durchzusetzen.",2017-09-02 12:54:02.973376,1,NULL,NULL,NULL,NULL
108,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Winnetou,"Wie immer wird viel geredet und sehr, sehr wenig getan! Wie war das bei Frau Merkel? Die kann Probleme aussitzen - na das ist doch die Lösung, wenn ich mal so zynisch sein darf!",2017-09-02 14:03:56.10883,NULL,NULL,NULL,NULL,NULL
109,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),poisenangel,"Mit dem Online Waffenhandel unterbinden denke ich, dass es recht schwierig sein wird. Würde auf jedenfall viel mehr an Polizei und Sicherheitsleuten ausbilden und vor allem mal ein Stopp machen was einreise für Flüchtlinge wäre. Ich bin bestimmt kein Rassist aber der Hass und die Angst wird tgl größer. Ich verstecke mich nicht im Haus und gehe auch auf Feste o.ä. nur ist die Angst immer da. Unsere Kinder können nicht mehr vernünftig draussen spielen. Schlimm genug was gerade passiert auf der Welt",2017-09-02 16:04:01.005158,NULL,NULL,NULL,NULL,NULL
110,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Ricki001,"Das Grundgesetz kann geändert werden, und wird es viel zu häufig. Aber es gibt gute Gründe, dass es eine klare Grenze zwischen Militär und Polizei gibt.",2017-09-02 18:59:13.842582,NULL,NULL,NULL,NULL,NULL
111,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),ononon,"ich finde das alles ein wenig schade, dass sich die Leute hier so bekriegen wir leben doch in einer Gemeinschaft.",2017-09-03 04:52:07.054469,NULL,NULL,NULL,NULL,NULL
112,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),alterSchwede,"einige Maßnahmen sind geeignet, andere gehen zu weit. Gar nicht in Frage kommen: Internetkommunikation entschlüsseln, Verstärkung der Videoüberwachung mit Gesichtserkennung wie seit kurzem in der erliner S-Bahn und Bundeswehreinsatz zum Zwecke der inneren Sicherheit. Dafür ist die Polizei da.",2017-09-03 07:35:34.755337,NULL,NULL,NULL,NULL,NULL
113,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Molly-HX,"Naja, alles Maßnahmen, wo wir wissen ,dass sie nötig sind, aber nichts wirklich Neues.",2017-09-03 09:14:12.599514,NULL,NULL,NULL,NULL,NULL
114,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),coco27,"Der Plan ist schon gut überlegt. Die Frage ist, inwieweit und wie schnell er umgesetzt wird. Theoretisch sollte er unmittelbar zum Einsatz kommen.",2017-09-03 11:35:01.542527,NULL,NULL,NULL,NULL,NULL
115,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),samson,"Ich frage mich warum diese Punkte nicht schon lange umgesetzt sind, es wird einfach immer wieder viel zu viel diskutiert.",2017-09-03 11:47:21.493454,NULL,NULL,NULL,NULL,NULL
116,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),coco27,"Den Einsatz der Bundeswehr im eigenen Land finde ich sehr vernünftig. Die Bundeswehr ist nochmal anders ausgebildet und hat mehr Ressourcen, auf die sie zurückgreifen kann. Das Gesetz gehört abgeschafft.",2017-09-03 12:13:40.120612,NULL,NULL,NULL,NULL,NULL
117,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),coco27,"Ich bin der Meinung, dass die Bundeswehr darüberhinaus auch für Naturkatastrophen etc. eingesetzt werden sollte. Was nützt es, wenn sie nur im Ausland präsent ist und hilft, die Terrorristen kommen, bomben alles nieder und töten unsere Soldaten.",2017-09-03 12:16:10.514381,NULL,NULL,NULL,NULL,NULL
118,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),coco27,"Abschiebungen sind notwendig. Wir sind zwar immer noch ein soziales Land und uns geht es im Großen und Ganzen immer noch verdammt gut, was nicht heißt, dass wir jedem helfen können. Unser Land ist schon heruntergewirtschaftet. Es wird Zeit, dass Deutschland auch auf sich guckt, da gibt es Missstände genug. Helfen ist schön und gut und für eine kurzfristige Zeit auch für mich völlig in Ordnung, aber dann sollte auch wieder Ruhe und Normalität einkehren.",2017-09-03 13:47:50.828186,NULL,NULL,NULL,NULL,NULL
119,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Winnetou,Wir sollten die Bundeswehr wirklich einsetzen. Dann müssen die auch nicht monatelang in den Kasernen herumsitzen und können mal etwas Sinnvolles für die Gesellschaft machen. Das wäre für alle Beteiligten gut.,2017-09-03 14:34:26.123917,NULL,NULL,NULL,NULL,NULL
120,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),TINAZ,"ja, genauso geht es mir auch",2017-09-04 06:18:29.520899,3,NULL,NULL,NULL,NULL
121,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Winnetou,"Ich glaube fast, der 9-Punkte-Plan darf im Stall verrecken. Jetzt geht es nur um die Bundestagswahl.",2017-09-04 16:49:44.31775,NULL,NULL,NULL,NULL,NULL
122,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Winnetou,"Bis jetzt habe ich noch keine Fortschritte beim 9-Punkte-Plan in der Realität entdeckt. Ich lese jeden Tag meine regionale Tageszeitung, verfolge ab und zu im Radio Nachrichten, sehe regelmäßig Fernseh-Nachrichten und bin täglich im Internet. Aber bis jetzt entdecke ich in erster Linie die Bundestagswahl als wichtigstes Ereignis!",2017-09-05 08:58:09.853514,NULL,NULL,NULL,NULL,NULL
123,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Stm16,"Ein wesentliches Problem bei der Umsetzung ist, dass es sich um einen Plan handelt. Das heißt, dass allein daraus noch keine Resultate folgen. Nach vermehrten Terroranschlägen war es quasi ein Muss, der Bevölkerung etwas anzubieten, um eine beruhigende Wirkung zu erzielen. Dass viele deutlich wichtigere Punkte auf dem Plan fehlen, mag daran liegen, dass diese einfach nicht berücksichtigt wurden. Es ist aber auch möglich, dass diese nicht genannt werden, weil das Thema und die entsprechenden Maßnahmen viel zu komplex für das Verständnis der meisten Bürger sind.",2017-09-05 19:01:09.057376,NULL,+1|retort,"[""Winnetou""]",NULL,NULL
124,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Winnetou,"Ja - der Bevölkerung wurde erst mal ein Plan geboten und nun warten alle erst mal die Bundestagswahl ab. Dann erst wird man sehen, ob noch eine Aktion folgt. Quasi werden die Karten erst mal neu gemischt!",2017-09-06 11:27:10.034159,NULL,NULL,NULL,NULL,NULL
125,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),candy76,"Alles in allem ist der Plan eine gute Idee und längst überfällig. Leider geht er mir nicht weit genug und ist in vielen Punkten zu schwammig und detailarm. Als erstes fehlt mir hier die Bedrohung von Terrorismus aus unserem Land, denn nicht nur der radikale Islamismus bedroht unsere Demokratie, sondern auch Menschen, die offen gegen unseren Staat sind wie die sogenannten Reichsbürger. Ich finde, dass von diesen Mensche eine ebenso hohe Gefahr ausgeht, da sie unser Grundgesetz nicht anerkennen. Des Weiteren denke ich an die Personen mit Migrationshintergrund, die hier geboren wurden und sich ebenfalls nicht an die Gesetze halten wie einige Großfamilien. Dieser Plan sollte alle Bedrohungen beinhalten und sich nicht nur auf einen Punkt beschränken. Ich habe auch nichts gegen eine stärkere Überwachung und gegen eine Speicherung von Fingerabdrücken und DNA, denn wenn man nichts zu verbergen hat und die Sicherheit dadurch gewährleistet wird, ist es für mich kein Eingriff in meine Persönlickeitsrechte. Die Stärkung der Polizei finde ich notwendig und überfällig, denn nach Stellenabbau und veralteter Ausrüstung und fehlender Vernetzung der einzelnen Dienststellen muss unbedingt gehandelt werden, damit die Polizei auch ihre Arbeit vernünftig und effizient erledigen kann. Wichtig in der Bekämpfung und auch Vorbeugung von Straftaten jeglicher Art ist eine Datenbank, auf die alle notwendigen Stellen Zugriff haben. Darin sollten alle Straftäter registriert werden und auch alle, die sogenannte Gefährder sind, so dass diese jederzeit und überall identifiziert werden können. Zu dem Punkt ""Rückführung von Flüchtlingen"": Da gibt es erstmal das Problem, dass da nichts mehr ist, was vorher ihre Heimat war. In den Kriegsgebieten gibt es meist nichts mehr und meist ist dort nicht mal Ruhe eingekehrt. Ich weiß ja nicht, wie viele schonmal gegoogelt haben, wo auch der Welt überall Krieg herrscht. Da bekommt man schon einen Schreck. Kann man da als mitfühlender Mensch einfach sagen, dass man die Flüchtliche dahin zurückschicken soll? Die Flüchtlinge, die aus ""wirtschaftlichen"" Gründen fliehen, kommen nicht hierher um reich zu werden, sondern weil sie in ihrem land nichts zu essen haben. Um das mit den Flüchtlingen in der Griff zu bekommen, müssen die Ursachen der Flucht bekämpft werden, also Krieg und Hunger. So gut die Idee dieses Planes auch ist, er wird kaum durchsetzbar sein, wenn nicht einige Gesetze im Grundgesetz geändert werden und vor allem das Starfgesetz überarbeitet wird. Härte Strafen sind wichtig und die Gefängnisse sollten eine Strafe sein und nicht, dass es den Gefangenen teilweise besser geht als außerhalb. Fernsehen, Internet, Aus- und Weiterbildung sollten Privilegien sein und kein Grundrecht eines Verurteilten. Wir übernehmen so viel aus anderen Ländern, wieso dann nicht einige Teile des amerikanischen Strafsystems. Zum Punkt Waffen: Meiner Meinung nach sollte keine Privatperson eine Waffe besitzen. Nicht nur online sollte der Kauf unmöglich werden, sondern auch im stationären Handel. Eine Vernetzung der einzelnen Länder ist von Vorteil zur Verhinderung von Anschlägen und Straftaten, wie z.B. die Einbrecherbanden aus Osteuropa.",2017-09-07 21:36:46.187029,NULL,NULL,NULL,NULL,NULL
1,Was denken Sie: Wie lässt sich Terror stoppen? (70),system,"<div class=""wrap""><img src=""/uploads/default/original/1X/ab172a406edba7b391e889bdc651106b8d76b834.jpg"" width=""690"" height=""440""></div> Mit dem Neun-Punkte-Plan versucht die Bundesregierung, Gefahr durch Terror zu reduzieren. Die entscheidende Frage lautet aber wohl: Lässt sich Terror denn überhaupt stoppen? Falls ja, wie müsste dies geschehen? Was wären Schritte in die richtige Richtung, und was erscheint weniger sinnvoll? ## Sagen Sie uns Ihre Meinung!",2017-07-31 10:07:46.197846,NULL,+1|retort,"[""keksbaby""]",NULL,NULL
2,Was denken Sie: Wie lässt sich Terror stoppen? (70),pere,"Wie wäre es denn, wenn wir, der Westen und Führung der ach so tollen USA, mal mit diesen unsäglichen Kriegen im Nahen Osten aufhören würden? Das ist schließlich die Ursache für diese ganze Entwicklung?",2017-07-31 10:08:39.080019,NULL,+1|retort,"[""uhrentoaster"", ""zigeunerin"", ""MaltoCortese"", ""garda"", ""karri"", ""hallo"", ""ClaudiaE"", ""suedzipfel""]",NULL,NULL
3,Was denken Sie: Wie lässt sich Terror stoppen? (70),herzberg1,"So schaffen wir das sicher nicht. Frau Merkel hat mit einer humanitären Geste die Sicherheitslage in Deutschland dramatisch verschlechtert, in dem hundert tausende ohne Prüfung von Personalien ins Land gelassen wurden. Diese Menschen geniessen unser Gastrecht und leben nun mit uns. Menschen, die sich einer Integration widersetzen, zu Gewalt aufrufen, unsere Rechtsnormen nicht akzeptieren und oder straffällig werden müssen sofort das Gastrecht verwirken und zurück. Konsequent, sichtbar und nachvollziehbar muss hier Stärke gezeigt werden in dem selben Mass in dem wir grosszügig waren. Jetzt!",2017-07-31 10:08:48.646411,NULL,+1|retort,"[""buddy_art"", ""MaltoCortese"", ""kurzundknapp"", ""MissAH"", ""Snoopy"", ""bernies"", ""garda"", ""karri""]",-1|retort,"[""reality_check"", ""birdie"", ""zigeunerin"", ""peter-59"", ""Uljano""]"
4,Was denken Sie: Wie lässt sich Terror stoppen? (70),zigeunerin,"ja, wir schaffen das, wenn wir aufhören, uns gegenseitig mit Vorwürfen zu zerfleischen und die Politiker sich ständig in den Rücken fallen. Wir schaffen das, wenn wir zusammenstehen und gemeinsam nach Lösungen suchen. Diejenigen, die hier versuchen, Feindschaft und Hass zu säen, wie AfD, CSU und noch einige andere Besserwisser, spielen den Terroristen in die Hände, ebenso wie den antidemokratischen Herrschern Putin, Erdogan, Orban etc. Diese Leute werden die Verantwortung tragen, wenn wie es nicht schaffen. Drum hört auf zu streiten, sucht nach Gemeinsamkeiten und steht zusammen.",2017-07-31 10:09:03.132227,NULL,+1|retort,"[""uhrentoaster"", ""reality_check"", ""birdie"", ""pere"", ""garda"", ""suedzipfel"", ""candy76""]",-1|retort,"[""kurzundknapp"", ""peter-59""]"
5,Was denken Sie: Wie lässt sich Terror stoppen? (70),MaltoCortese,"Allmählich reicht es den Menschen mit diesem Globalisierungsgeschwafel. Wir brauchen keine Bundeswehreinsätze im Inneren, keine Vorratsdatenspeicherung, keine Blockwarte und keine Nationalgarde - was wir brauchen ist die Kontrolle der Grenzen und die Einhaltung des Asylrechts und der mit den europäischen Nachbarn getroffenen Vereinbarungen. Vor allem aber brauchen wir schnellere Asylverfahren nach Schweizer Vorbild und eine glaubwürdige Verabschiedungskultur.",2017-07-31 10:09:13.388312,NULL,+1|retort,"[""semmelbroesel"", ""buddy_art"", ""herzberg1"", ""MissAH"", ""Snoopy""]",-1|retort,"[""zigeunerin""]"
6,Was denken Sie: Wie lässt sich Terror stoppen? (70),ErhardJakubik,"Irak will nicht kämpfen. Warum mischen wir uns ein? Soll doch die ISIS das Land übernehmen. Durch unser Nichteingreifen hätten sie es schwer, einen Anlass für Terror hierzulande zu finden. Die Bürger in Europa sollten vor Terroristen geschützt werden. Ein härteres Vorgehen der Polizei gegenüber den Extremisten halte ich für durchaus gerechtfertigt. Sie sollte hierbei auch von den Richtern unterstützt werden!",2017-07-31 10:09:25.294116,NULL,+1|retort,"[""kurzundknapp""]",-1|retort,"[""MaltoCortese"", ""ClaudiaE""]"
7,Was denken Sie: Wie lässt sich Terror stoppen? (70),kurzundknapp,"Was getan wird und getan werden muss. an erster stelle muß der konflikt israel und palästina für beide seiten akzeptabel gelöst werden. d.h. gleiche rechte für alle, rückgabe der besetzten gebiete, und und… is mit demokratischen mitteln zwingen, keine andersdenkenden zu töten oder kulturstätten zu zerstören. länder, wie saudiarabien u.a., die die terroristen unterstützen, boykottieren.",2017-07-31 10:09:34.545539,NULL,+1|retort,"[""pere"", ""ErhardJakubik"", ""gayd2201"", ""suedzipfel""]",NULL,NULL
8,Was denken Sie: Wie lässt sich Terror stoppen? (70),Blumenbaer,"garnicht. Ursachenbekämpfung in den Urspungsländern betreiben, d.h. Aufklärung, Verhinderung von Ausgrenzung und Armut. Ne Aufgabe für Generationen, weil es Konflikte geben wird, die heute noch nicht so aktuell sind (Klimaflüchtlinge). Und dann einen langen Atem haben, der innerdeutsche Terror hat sich auch irgendwann selbst überlebt (RAF).",2017-08-29 14:23:40.917255,NULL,+1|retort,"[""keksbaby"", ""candy76""]",NULL,NULL
9,Was denken Sie: Wie lässt sich Terror stoppen? (70),anonym1,Grenzen besser schützen. Radikalisierung besser überwachen und schneller eingreifen.,2017-08-29 19:22:31.045022,NULL,NULL,NULL,NULL,NULL
10,Was denken Sie: Wie lässt sich Terror stoppen? (70),Sindbad,"Indem man sich nicht hinter dem Grundgesetz versteckt und die gefährder abschiebt,wenn es sein muss auch in Länder wo es diesen MENSCHEN an den kragen gehen könnte,denn zuerst steht der Schutz der bevölkerung Deutschlands an erster stelle und das Grundgesetz ändern die Politiker ja sonst auch so wie sie es gerade für nötig halten bzw verstossen wissentlich dagegen",2017-08-29 19:29:19.983109,NULL,NULL,NULL,NULL,NULL
11,Was denken Sie: Wie lässt sich Terror stoppen? (70),Turbienchen,Meiner Meinung nach kann das Problem hauptsächlich nur an der Wurzel bekämpft werden - sprich in den Ländern in denen der Terror entsteht und von da aus in die Welt getragen wird. Dort muss man verstärkt anpacken - Aufklärung leisten - Hilfen anbieten. Sind die Typen erstmal radikalisiert gibt's nimmer viel zurück...,2017-08-30 09:59:04.942647,NULL,+1|retort,"[""coco27"", ""candy76""]",NULL,NULL
12,Was denken Sie: Wie lässt sich Terror stoppen? (70),Graf23,"Ganz einfach: Grenzen zu, kontrollierte Grenzübergänge, Gefährdet sofort abschieben oder ins Gefängnis.",2017-08-30 10:01:06.015095,NULL,+1|retort,"[""Snoopy""]",-1|retort,"[""suedzipfel""]"
13,Was denken Sie: Wie lässt sich Terror stoppen? (70),Shampoo,"Gewalt erzeugt Gegengewalt! Die USA hat die Entwicklung des IS erst ermöglicht. Vielleicht sollte man(n) sich selbst an die Nase packen. Was zur Zeit abgeht auf der Welt ist einfach nur grausam und erbärmlich. Die Truppen sollten aus dem Nahen Osten abgezogen werden, stattdessen schickt Trump aka ""America First"" noch mehr Truppen hin. Soviel zu seiner sogenannten Innenpolitik...",2017-08-30 10:12:45.472516,NULL,+1|retort,"[""candy76""]",NULL,NULL
14,Was denken Sie: Wie lässt sich Terror stoppen? (70),BirgitK,Wie kann man Terror bekämpfen. Gute Frage? Ich bin nicht überzeugt davon das man Terror bekämpfen kann es werden immer irgendwo Verrückte geben die sich mit Gewalt durchsetzen wollen,2017-08-30 10:22:11.449546,NULL,+1|retort,"[""keksbaby"", ""coco27""]",NULL,NULL
15,Was denken Sie: Wie lässt sich Terror stoppen? (70),gayd2201,es ist schwer diese Frage zu beantworten. Aber Kriege und Waffen sind nicht immer eine Lösung für Terror zu stoppen.,2017-08-30 11:18:43.057469,NULL,+1|retort,"[""Petra""]",NULL,NULL
16,Was denken Sie: Wie lässt sich Terror stoppen? (70),Nadin1979,"Terror kann man nicht stoppen!!!! Man kann nicht in die Köpfe reinschauen. Jetzt, nachdem einige Anschläge verübt wurden, weiß man, diese angeblichen Flüchtlinge hätte man nicht ins Land holen dürfen. Es ist egal welches Land man dazu betrachtet, die jeweiligen Landsleute sind meistens nicht die Täter",2017-08-30 11:33:42.014999,NULL,+1|retort,"[""keksbaby""]",NULL,NULL
17,Was denken Sie: Wie lässt sich Terror stoppen? (70),krenz,Er lässt sich nicht mehr stoppen. Und es sind auch nicht nur Flüchtlinge die Anschläge verüben sonder in Europa geborene Bürger.,2017-08-30 12:19:22.757011,NULL,NULL,NULL,NULL,NULL
18,Was denken Sie: Wie lässt sich Terror stoppen? (70),Chyrus,"Der 9 Punkte Plan vermindert vielleicht Terrorismus bei uns, aber wirklich gestoppt wird er dadurch nicht. Terror lässt sich nur stoppen, wenn man in den jeweiligen Ländern anfängt - undzwar ohne Gewalt",2017-08-30 13:09:23.976674,NULL,+1|retort,"[""Petra""]",NULL,NULL
19,Was denken Sie: Wie lässt sich Terror stoppen? (70),Tina2017,Solange jeder/jede nach Deutschland problemlos einreisen kann:-1:werden wir diese Gewalt nicht in den Griff bekommen,2017-08-30 13:18:42.418843,NULL,NULL,NULL,NULL,NULL
20,Was denken Sie: Wie lässt sich Terror stoppen? (70),999Everliving,"Die sogenannten Terroristen haben starken Haß gegen die westliche Welt, evtl. weil sie sich benachteiligt fühlen. Kurzfristig sicherlich schwer den Terror zu stoppen. Mit der Zeit wäre eine Änderung möglich",2017-08-30 14:48:25.46592,NULL,NULL,NULL,NULL,NULL
21,Was denken Sie: Wie lässt sich Terror stoppen? (70),DRM68,"Volle Zustimmung! Vor allem aber wäre es hilfreich, wenn wirklich ALLE Nationen ein wenig aufeinander zugehen würden, statt immer wieder den Knüppel aus dem Sack zu holen.",2017-08-30 15:00:38.041678,2,NULL,NULL,NULL,NULL
22,Was denken Sie: Wie lässt sich Terror stoppen? (70),Snoopy,"... ganz dumm ... Grenzen dicht, Gesindel raus ...",2017-08-30 15:20:40.147813,NULL,NULL,NULL,NULL,NULL
23,Was denken Sie: Wie lässt sich Terror stoppen? (70),schulten,der terror lässt sich ganz gewiss nicht auf die schnelle stoppen.es gehört taktikund wenn nötig auch ein waffengang wie momentan leider dazu.aber taliban in d is ist anders nicht beikommen.werden diese besiegt wachsen wieder neue gruppierungen heran und das ist unser eigentliches problem was es gilt in zukunft zu lösen.auf jeden fall geht die sicherheit des eigenen glaubens und des eigenen volkes vor.,2017-08-30 16:33:17.288082,NULL,NULL,NULL,NULL,NULL
24,Was denken Sie: Wie lässt sich Terror stoppen? (70),mmb,"Solange sich die sogenannten Großmächte dieser Welt in alles einmischen, was sie nichts angeht, wird der Terror weitergehen!!!",2017-08-30 18:47:35.131424,NULL,NULL,NULL,NULL,NULL
25,Was denken Sie: Wie lässt sich Terror stoppen? (70),Barbara,"Nur sehr bedingt, wenn die 80 (oder wieviel?) Jungfrauen warten, ist der Märtyrertod eine Belohnung. M.E. sollte auch über Beschäftigungsmöglichkeiten für Flüchtlinge nachgedacht werden. Wo junge Männer sich langweilen, kommt selten was Vernünftiges raus---egal mit welchem Hintergrung!!!",2017-08-31 08:26:09.458598,NULL,+1|retort,"[""Petra""]",NULL,NULL
26,Was denken Sie: Wie lässt sich Terror stoppen? (70),turtur,"Ohne Maßnahmen in den Ursprungsländern des Terrors wird es nicht gehen. Hier muss massiv Geld investiert werden, um dort Arbeitsplätze und damit eine Perspektive zu schaffen. Auch den Flüchtlingen vor Ort muss eine Perspektive auf Ausbildung und Arbeitplatz geschaffen werden. An Terrorismus denkt nur eine verschwindend kleine Minderheit.",2017-08-31 08:35:31.323783,NULL,+1|retort,"[""candy76""]",NULL,NULL
27,Was denken Sie: Wie lässt sich Terror stoppen? (70),lulu,nur mit Vernunft,2017-08-31 09:30:05.93139,NULL,+1|retort,"[""candy76""]",NULL,NULL
28,Was denken Sie: Wie lässt sich Terror stoppen? (70),Ketzerlehrling,"Man kann den Terror nicht abstellen, dazu müsste man erst die Ideologie, die sich Islam nennt, abschaffen. Modernisieren bzw. reformieren lässt sich dieser Irrsinn nicht, es wird auch nicht gewollt. Wirksame Maßnahmen werden nicht ergriffen, Aufnahmestopp, all diess ind weder Flüchtlinge noch haben sie ein Anrecht auf Asyl. Niemand braucht diese Menschen, vor allem nicht ihr archaisches, überaus lächerliches Gehabe. Es ist längst überfällig, die Glacéhandschuhe abzustreifen.",2017-08-31 10:13:07.394928,NULL,NULL,NULL,NULL,NULL
29,Was denken Sie: Wie lässt sich Terror stoppen? (70),coco27,"Jeder sollte seine Meinung haben und diese auch aussprechen dürfen, aber den anderen für seine Meinung nicht verurteilen. Respekt und Toleranz spielen da eine große Rolle. Religionen sollten auch nicht dafür genutzt werden, Menschen zu verhetzen, um anderen Menschen wiederum Schmerz und Leid zuzufügen.",2017-08-31 12:47:09.066022,NULL,+1|retort,"[""candy76""]",NULL,NULL
30,Was denken Sie: Wie lässt sich Terror stoppen? (70),AnjaSn,"Das man den Terror zu 100 % stoppen kann glaube ich nicht,aber man sollte versuchen den Terror wenigstens einzugrenzen.Mögliche Maßnahmen wären,dass alle Personen gründlich überprüft werden und bei dem geringsten Verdacht,dass sie etwas planen sofort festgenommen werden.Außerdem sollte es strenge Grenzkontrollen geben,und nur Menschen nach Deutschland gelassen werden,die überprüft wurden und eine ""weiße Weste"" haben.",2017-08-31 13:11:47.040296,NULL,NULL,NULL,NULL,NULL
31,Was denken Sie: Wie lässt sich Terror stoppen? (70),eltipsi,Da stimme ich voll zu. Etwas mehr Überlegung vor dem losschreien täte allen gut.,2017-08-31 13:43:43.133961,4,NULL,NULL,NULL,NULL
32,Was denken Sie: Wie lässt sich Terror stoppen? (70),Stefanie37,Auf der ganzen Welt sollte der Waffen und sprengstoff handel stärker überwacht werden.Terrorverdächtige sollten besser mit personalien in ein system eingetragen werden damit jedes land über diese personen bescheid weiss.Stärkere sanktionen und grenzkontrollen sowie mehr überwachungen an öffentlichen plätzen.,2017-08-31 15:19:16.205207,NULL,NULL,NULL,NULL,NULL
33,Was denken Sie: Wie lässt sich Terror stoppen? (70),Sonnenschein,"Terror ist ohne Kapital nicht aktiv zu halten, d.h. alle Geldflüsse kontrollieren und vor allem die Gelder in der Entwicklungshilfe besser überwachen, dass diese nicht in ""dunkle Kanäle"" abwandern! Ich sehe die Möglichkeit darin, dass man vor allem offen über Gefahren spricht und sie nicht verharmlost werden.",2017-08-31 19:04:35.903986,NULL,NULL,NULL,NULL,NULL
34,Was denken Sie: Wie lässt sich Terror stoppen? (70),Petra,"Leider gibts da keine Antwort auf diese Frage. Denn es wird immer Verueckte oder Anhaenger einer fanatischen Sekte oder nur Kriminelle geben die nur eines im Kopf haben, zu toeten, soviele Menschen in den Tod ziehen wie moeglich.Schauderhaft! Der Hintergrundsinn ist wahrscheinlich dass nun auch in Deutschland Terroranschlag stattfinden weil die ISIS verhasst ist, weil Deutschland viele Fluechtlinge aufgenommen hat. Sie wollen sozusagen die Laender die Menschenwuerde gezeigt haben in ihrem Hass bestrafen. Aber kann man Rache oder Hass wieder mit Rache oder Hass bestrafen? Nein. Die USA muss endlich aufhoeren andauernd in irgendeinen Land Krieg zu fuehren und unbschuldige Menschen zu bombardieren so dass sie fliehen muessen. Wenn dort Frieden herrscht, dann wird auch der Hass der ISIS sich nicht ausbreiten koennen. Irgendwann muss Schluss sein mit Krieg. Frau Merkel sollte die Zaehne zusammenbeissen und mit Praesident Trump ein schaerferes Woertchen diesbezueglich reden. Obwohl, kann man ein Kind belehren was nicht hoeren will? Wie schon vieher gesagt, gibt es nur einen Weg diesen Terror etwas zu entschaerfen. Menschen die illegal, egal welcher Nation oder Kriegsgebiet oder nicht, ins Land gekommen sind und sich ungebuehrlich in irgendeiner Weise verhalten haben, ohne viel Papierkrieg, der sich ueber Monate hinweg streckt, wieder auszuweisen. Dennoch, eine Garantie fuer keinen erneuten Terrorakt gibt es nicht.",2017-08-31 21:38:02.533535,NULL,NULL,NULL,NULL,NULL
35,Was denken Sie: Wie lässt sich Terror stoppen? (70),lisa5953,Ich denke nicht das man den Terror ganz stoppen kann . Ich finde es auch nicht fair das oft alles auf Frau Merkel geschoben wird. Sie ist nicht alleine für die Entscheidungen verantwortlich. Es müsste eine bessere Kommunikation der einzelnen Länder stattfinden.,2017-09-01 05:29:54.181773,NULL,+1|retort,"[""Petra"", ""coco27""]",NULL,NULL
36,Was denken Sie: Wie lässt sich Terror stoppen? (70),scratchy,"Terror entsteht großteils durch Unzufriedenheit oder Benachteiligung. Arme klauen von Reichen, gegen Hass auf Reiche etc. Wenn jeder Mensch gleich viel bekommen würde und gleich viel geben muss, wäre es fairer. Es ist nicht fair, dass das eine Kind in eine Familie mit Millionen geboren wird und das andere in eine, die zeitlich gesehen viel viel mehr arbeiten gehen, ihren Körper dabei zB auf dem Bau zu Ende schuften und jeden Monat schauen müssen, wie's am Ende des Monats aussieht. Erstere haben super Zukunftsaussichten, zweitere werden selbst schuften müssen um sich überhaupt finanzieren zu können. Und das ist innerhalb Deutschlands schon so. Was meint ihr wie es denjenigen geht, die jeden Tag ums Überleben kämpfen? Es ist nicht in Ordnung, dass weniger als 2% so viel besitzen wie die ganze Welt! Die Oberen sollen gestürzt werden! Die wehren sich! Und jeder mittelmäßig verdienende in Deutschland ist trotzdem für viele ein reicher Mensch und gehört für die genauso dazu. Wir sitzen hier in einem Tempel in dem es uns gut geht und jeder will was davon abhaben.",2017-09-01 09:25:38.797354,NULL,+1|retort,"[""candy76""]",NULL,NULL
