post_number,topic,user,raw,created_at,reply_to_post_number,key,value
85,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Lou,"Ich finde ebenfalls, dass besagter 9 Punkte Plan sehr vage wirkt; Konkret müsste man werden und sich überlegen, wo kriege ich denn die ganzen IT- Spezialisten her, die Polizisten etc. wenn Sie nicht rechtzeitig ausgebildet wurden oder gefördert. Außerdem ist für mich die große Frage, wie es sein kann, dass die Merkelregierung es zugelassen hat, dass Geheimdienste, Polizei, Ministerien etc. nicht schon lange besser miteinander kommunzieren und wie sie sich das vorstellt, dass das jetzt mal hoppla plötzlich geändert wird? Zur Frage wer das Personal bezahlen soll? Wie wäre es mal damit Menschen mit einem monatlichen Einkommen von über 7000 anders zu besteuern, Erben riesiger Vermögenswerte,die Gelder auch noch häufig in Konzernen verstecken zu enttarnen und zur Kasse zu bitten; Wir vererben in deutschland jährlich bis zu 400 Milliarden Euro und davon erhält der Fiskus 5,5 Milliarden an Steuern... da wäre Geld zu holen bei denen die genug davon haben... Zu punkt 4: Nein, die Bundeswehr darf und soll nicht im Inneren eingesetzt werden!! Stattdessen sollte Punkt 5 mal wirklich wohl überlegt ausgebaut werden... Prävention ist immer das beste Mittel...alles andere ist nur Reaktion; Lehrer also besser schulen ( gerade in der pubertät radikalisieren sich spätere Terroristen); mehr Psychologen einsetzen, die genau analysieren wann jemand gefährdet sein könnte sich zu radikalisieren, Auswege aus den terroristischen Kreisen anbieten ( Immunität, Zeugen schutzprogramme etc) und zum 9. und letzten punkt: dann bitte mehr Personal einstellen!",2017-09-01 21:04:39.61221,NULL,NULL,NULL
86,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Franconia,"klingt alles sehr theoretisch, wenn sie schon nach der Bundeswehr rufen...... und alles etwas spät auf mich wirkt das nicht besonders sinnvoll",2017-09-01 21:24:03.677258,NULL,NULL,NULL
87,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),mrosengarth,"Ist leider, wie so oft, wenig konkret und wird nach der Wahl nicht eingehalten. Auf die Widersprüche zum Grundgesetz will ich lieber nicht eingehen. Dies scheint ja inzwischen ganz normal zu sein....",2017-09-02 04:49:34.788294,NULL,+1|retort,"[""Ampelmann""]"
88,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),romawu,"gesagt und geschrieben ist vieles schnell,ich denke der Wahlkampf machts möglich. aber zur Umsetzung kein Wort,kann auch nicht da Sie Ihren Grundprinzipien zur Einwanderung treu bleibt",2017-09-02 08:32:52.370563,NULL,NULL,NULL
89,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),thomasf,"Dieser Plan ist Ueberfaellig. Es muss mehr gegen die Islamisierung getan werden und auf qualifizierte Einwanderung gebaut werden. Es kommen zu viele 'fake Asylanten' ins Land und alle werden im sozialen Netz haengen. Keiner hat eingezahlt. Es muss eine ""Pashback"" Aktion gestartet werden, wo die Boote schon vor der Landung zureuckgeschoben werden um die Schenasylanten zu demitivieren und die Terroristen zurueckzuhalten! Dieser Plan sieht Stark aus, tut aber nichts Effektives!",2017-09-02 08:33:35.008196,NULL,NULL,NULL
90,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),hbss,"Kein Konzept. Warum? Niemals werden auch nur mit einem Komma die Ursachen geklärt. Winnenden G20 Islam Gewalt RAF Ehefrau ermordet. Die Regierung ist wohl zu ""nichtfleissig"" sich mit den Ursachen von Gewalt zu beschäftigen. So soll einfach nur erstickt werden. Das macht halt mehr Gewalt. Ach hurra dann brauchen wir mehr Polizei und mehr Sozialarbeiter. Bringt Umsatz. Und Sarkasmus.",2017-09-02 09:02:09.924245,NULL,NULL,NULL
91,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Konstanze,"Der Plan ""geschrieben "" ist sinnvoll,aber die Durchsetzung schwierig.Das beginnt mit mehr Personal bei der Polizei,weiter mit dem Waffenhandel im Internet usw. Jetzt müssen Taten folgen und nicht nur Worte. Ich denkenne auch,das man Terroranschläge nicht zu 100% verhindern kann,aber durch viel mehr Kontrolle und gezielte Überwachung kann vieles im Keim erstickt werden.",2017-09-02 10:04:26.998471,75,NULL,NULL
92,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Josphat,"Ist doch nur alles bla, bla, bla vor der Wahl",2017-09-02 16:14:53.060661,NULL,NULL,NULL
93,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Josphat,sehr gut beschrieben,2017-09-02 16:18:51.006488,81,NULL,NULL
94,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Josphat,Es waren aber wieder Moslems wie immer. Und da sollte die Gruppenhaft angwendet werden. Mach mal die Augen auf,2017-09-02 16:23:19.35866,82,+1|retort,"[""Realitaet""]"
95,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),ugo,"Die 9 Punkte können nur mit Erfolg gezeichnet werden, wenn Individuen mit Immigrations Hintergrund in den ganzen Prozeduren eng eingebunden werden.",2017-09-02 19:08:07.998525,NULL,NULL,NULL
96,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Ampelmann,"Leider wieder nur Beruhigung der Wähler ohne das sich real etwas ändern wird. Punkt 1 nicht mit unseren Grundgesetz umsetztbar, weil ohne das jemand was gemacht hat kann er nicht in Sicherungsverwahrung genommen werden. Punkt 2 Solange die Polizei nur Personalien aufnehmen darf und sie dann wieder laufen lassen muß, ändert sich nichts. Punkt 3 nicht mit Datenschutz und per Persönlichkeitsrechte vereinbar Punkt 4 Leider nur ne Maßnahme nach Terroranschläge, nichts zum unterbinden Punkt 5 Forschung verhindert kein Terror Punkt 6 Solange die Politik die Flüchtlinge nicht als potentiele Terrotisten sieht wird nix sinnvolles rauskommen Punkt 7 dafür gibt es das Darknet was kaum überwachbar ist Punkt 8 Helfen würden nur Geheimdienste aus dem Land der möglichen Terroristen Punkt 9 Wer vorher genau schaut wer reinkommt brauch keinen hinterher abschieben, wer nicht nach unseren Regeln leben will hatt hier nix zu suchen (keine Religon vorschieben)",2017-09-02 20:42:09.687293,NULL,NULL,NULL
97,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Ursulamami,"Der Plan wäre ein guter Anfang, wenn er auch konsequent umgesetzt würde. Das bezweifle ich aber. Wir dummen Bürger sollen lediglich mal wieder vor den Wahlen beruhigt werden. Erreicht werden kann meiner Meinung nach nur etwas, wenn viele Menschen dieses Mal nicht die etablierten Parteien wählen. Ich werde das, als sehr enttäuschte frühere SPD-Wählerin, jedenfalls tun.",2017-09-03 10:04:03.22768,NULL,NULL,NULL
98,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Lolo,"Ich finde den Plan kurz und gut, jedoch fehlen konkrete Maßnahmen. Ich kann mir die Umsetzung nur schwer vorstellen. Klingt alles einfach und gut, aber in der Praxis sieht es schwierig aus.",2017-09-03 15:30:28.945253,NULL,NULL,NULL
99,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),kikisworld,"Schön und gut was da geschrieben steht.Nur wie das Umgesetzt werden soll da fehlen mir konkrete Maßnahmen. Mehr Personal zum Beispiel.Wo soll das Personal denn her kommen. Polizist werden das wollen doch immer weniger Menschen.Bürokratie ,überstunden und gefährliche einsätze .Immer weniger respekt in der Gesellschaft. Eingesetzt in gefährlichen Momenten wie in Hamburg usw. schrecken natürlich ab. Aber selbst wenn jetzt alle Polizisten werden wollen.Bis die ausgelernt haben und Einsatzbereit sind vergehen noch Jahre. Man hätte in der Vergangenheit aufhören sollen an der falschen Stelle zu sparen nämlich an unsere Sicherheit. Mehr Bundeswehr im inneren hört sich auch ganz toll an.In der Vergangenheit wurde hier immer wieder der Rotstift angesetzt.Jetzt plötzlich merkt man das das vielleicht ein Fehler war.Immer mehr Einsätze mit schlechtem Material und jetzt auch noch im inneren.Wo soll das denn her kommen. Ausserdem muss hier das Grundgesetz geändert werden da es dagegen verstösst.Das geht auch nicht von heute auf morgen.Warscheinlich eher gar nicht",2017-09-04 02:14:56.444205,NULL,NULL,NULL
100,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),karina64,"plan alleine genügt ja nicht,es müssen auch instrumente der umsetzung sein,gesetze für sofortige abschiebung auch bei sonstigen kriminellen,nach dem motto:man beißt nicht die hand die einen füttert.die,die uns schützen sollen wurden jahrelang abgespeckt und schlecht ausgerüstet.nachwuchs und bedarf passen noch nicht zusammen.ich glaube nicht an die sinnvolle umsetzung,bin auf grossen plätzen und bahnhöfen vorsichtiger geworden,fühle mich nicht mehr in deutschland geschützt.ich halte den 9-punkte plan für bla-bla,nur fassade zur beruhigung.",2017-09-04 06:36:27.698114,NULL,NULL,NULL
101,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),schalkerin13,"Es stehen wieder Wahlen vor der Tür irgentetwas muss ja gesagt werden ,aber gemacht wird sowieso nix. Vielleicht hätte Frau Merkel vorher mehr über alles nachdenken sollen.",2017-09-05 06:18:02.514712,NULL,NULL,NULL
102,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Blond2811,"Wie gesagt, die Gedanken dahinter sind gut. Aber der Plan kommt ein Wenig wie der BER In Berlin `rüber. Zuschnell geschossen und schon ein bisschen überholt.",2017-09-05 18:52:29.168868,NULL,NULL,NULL
103,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Konstanze,"Ich bin etwas besorgt, weil hier keine Diskussionen mehr stattfinden....was ist nur los? Schade, ich kann das gar nicht verstehen.",2017-09-07 16:51:54.940602,NULL,NULL,NULL
1,Was denken Sie: Wie lässt sich Terror stoppen? (69),system,"<div class=""wrap""><img src=""/uploads/default/original/1X/ab172a406edba7b391e889bdc651106b8d76b834.jpg"" width=""690"" height=""440""></div> Mit dem Neun-Punkte-Plan versucht die Bundesregierung, Gefahr durch Terror zu reduzieren. Die entscheidende Frage lautet aber wohl: Lässt sich Terror denn überhaupt stoppen? Falls ja, wie müsste dies geschehen? Was wären Schritte in die richtige Richtung, und was erscheint weniger sinnvoll? ## Sagen Sie uns Ihre Meinung!",2017-07-27 12:04:49.262124,NULL,NULL,NULL
2,Was denken Sie: Wie lässt sich Terror stoppen? (69),pere,"Wie wäre es denn, wenn wir, der Westen und Führung der ach so tollen USA, mal mit diesen unsäglichen Kriegen im Nahen Osten aufhören würden? Das ist schließlich die Ursache für diese ganze Entwicklung?",2017-07-27 12:05:55.119178,NULL,+1|retort,"[""uhrentoaster"", ""zigeunerin"", ""MaltoCortese"", ""JNBA"", ""Roxy""]"
3,Was denken Sie: Wie lässt sich Terror stoppen? (69),herzberg1,"So schaffen wir das sicher nicht. Frau Merkel hat mit einer humanitären Geste die Sicherheitslage in Deutschland dramatisch verschlechtert, in dem hundert tausende ohne Prüfung von Personalien ins Land gelassen wurden. Diese Menschen geniessen unser Gastrecht und leben nun mit uns. Menschen, die sich einer Integration widersetzen, zu Gewalt aufrufen, unsere Rechtsnormen nicht akzeptieren und oder straffällig werden müssen sofort das Gastrecht verwirken und zurück. Konsequent, sichtbar und nachvollziehbar muss hier Stärke gezeigt werden in dem selben Mass in dem wir grosszügig waren. Jetzt!",2017-07-27 12:06:05.105127,NULL,+1|retort,"[""buddy_art"", ""MaltoCortese"", ""kurzundknapp"", ""Noodles"", ""BlueBayou"", ""Realitaet""]"
4,Was denken Sie: Wie lässt sich Terror stoppen? (69),zigeunerin,"ja, wir schaffen das, wenn wir aufhören, uns gegenseitig mit Vorwürfen zu zerfleischen und die Politiker sich ständig in den Rücken fallen. Wir schaffen das, wenn wir zusammenstehen und gemeinsam nach Lösungen suchen. Diejenigen, die hier versuchen, Feindschaft und Hass zu säen, wie AfD, CSU und noch einige andere Besserwisser, spielen den Terroristen in die Hände, ebenso wie den antidemokratischen Herrschern Putin, Erdogan, Orban etc. Diese Leute werden die Verantwortung tragen, wenn wie es nicht schaffen. Drum hört auf zu streiten, sucht nach Gemeinsamkeiten und steht zusammen.",2017-07-27 12:06:16.404589,NULL,+1|retort,"[""uhrentoaster"", ""reality_check"", ""birdie"", ""pere"", ""Noodles"", ""Dafaju"", ""Konstanze""]"
5,Was denken Sie: Wie lässt sich Terror stoppen? (69),MaltoCortese,"Allmählich reicht es den Menschen mit diesem Globalisierungsgeschwafel. Wir brauchen keine Bundeswehreinsätze im Inneren, keine Vorratsdatenspeicherung, keine Blockwarte und keine Nationalgarde - was wir brauchen ist die Kontrolle der Grenzen und die Einhaltung des Asylrechts und der mit den europäischen Nachbarn getroffenen Vereinbarungen. Vor allem aber brauchen wir schnellere Asylverfahren nach Schweizer Vorbild und eine glaubwürdige Verabschiedungskultur.",2017-07-27 12:06:27.492005,NULL,+1|retort,"[""semmelbroesel"", ""buddy_art"", ""herzberg1"", ""Realitaet""]"
6,Was denken Sie: Wie lässt sich Terror stoppen? (69),ErhardJakubik,"Irak will nicht kämpfen. Warum mischen wir uns ein? Soll doch die ISIS das Land übernehmen. Durch unser Nichteingreifen hätten sie es schwer, einen Anlass für Terror hierzulande zu finden. Die Bürger in Europa sollten vor Terroristen geschützt werden. Ein härteres Vorgehen der Polizei gegenüber den Extremisten halte ich für durchaus gerechtfertigt. Sie sollte hierbei auch von den Richtern unterstützt werden!",2017-07-27 12:06:42.209963,NULL,+1|retort,"[""kurzundknapp"", ""Konstanze""]"
7,Was denken Sie: Wie lässt sich Terror stoppen? (69),kurzundknapp,"Was getan wird und getan werden muss. an erster stelle muß der konflikt israel und palästina für beide seiten akzeptabel gelöst werden. d.h. gleiche rechte für alle, rückgabe der besetzten gebiete, und und… is mit demokratischen mitteln zwingen, keine andersdenkenden zu töten oder kulturstätten zu zerstören. länder, wie saudiarabien u.a., die die terroristen unterstützen, boykottieren.",2017-07-27 12:06:52.524022,NULL,+1|retort,"[""pere"", ""ErhardJakubik""]"
8,Was denken Sie: Wie lässt sich Terror stoppen? (69),MaximusG,Ganz wird der Terror sich wohl nie stoppen lassen. Aber erste Schritte wären schonmal die USA weniger zu unterstützen bei ihrem weltweitem Feldzug. Außerdem warum lässt man es zu das sogenannte Hassprediger in unserem Land viele Muslime vergiften mit ihrem Hass? Was in manchen Moschen oder im Islamunterricht in deutschen Schulen erzählt wird da sträuben sich einem die Nackenhaare. Der Antismeitismus in unserem Land nimmt stark zu und wenn man sich mit manchen Jugendlichen unterhält wird der Terror gegen Israel und die USA mit Wohlwollen gesehen! Und das von Kindern und Jugendlichen die in unserem Land leben und hier radikalisiert werden Stück für Stück. Wir brauchen außerdem die Kontrolle der Grenzen und die Einhaltung des Asylrechts.,2017-08-29 10:00:15.95403,NULL,NULL,NULL
9,Was denken Sie: Wie lässt sich Terror stoppen? (69),mcpib,"Zunächst einmal muss man sich verdeutlichen aus welcher Perspeltive man von Terror spricht. Begibt man sich in den Blickwinkel der anderen Seite nehmen diese sich vielleicht als Widerstandskämpfer wahr. Auch wir sind heute stolz auf irgendwelche Widerstandskämpfer unserer Geschichte. Auf dieser Basis sollte man sich überlegen wie man kommuniziert bzw. ob man verteufeln sollte. Es existieren zudem viele Arten von Terror, welche durchaus unterschiedliche Motivationen zugrunde liegen haben. Plakativ ist heute in der westlichen Welt der islamistich geprägte Terror. Als ""Schutzmächte"" haben sich in der Vergangenheit westliche Koalitionen verstärkt in regionale/territoriale Konflikte eingemischt ohne die dahinter liegende Problematik vollumfänglich zu verstehen. Sicherlich wurden despotische Herrscher gestürzt, man muss sich aber auch fragen, warum diese nur mit dieser Form ihrer Regentschaft die Macht und somit die Kontrolle im Staat bewahren konnten. Vielmals wurden regionale ehtnische religiöse und machtpolitische Konflikte mit harter Hand unterdrückt bzw. schon im Keim erstickt. Die ""Befreiung"" dieser Staaten führte zum erneuten Ausbruch all dieser Konflikte (Vergleich Auflösung Yugoslaviens). Jahrzehnte bzw. Jahrhunderte alte Wunden und Hass brachen erneut aus. Berücksichtigt man nun die Kulturen handelt es sich eben nicht immer um Gruppen die gerne etwas verhandeln bzw. wirtschaftliche Interessen über ihre Werte stellen. Wenn wir das endlich mal verstanden haben können wir damit beginnen zu kommunizieren! Durch Anbieten von Bildung bewegen wir Menschen das eigene Handeln zu hinterfragen. Gleichzeitig kann eine Diskussion über Kultur und Gebräuche angeregt werden, vielleicht auch Geschichte und Folgen aus früherem Handeln mit Andersdenkenden kontruktiv erläutert werden. Am Ende eines solchen Prozesses reduziert sich Terror nur noch auf Gruppen die grundsätzlich dagegen sind. Im Beispiel Religion fanatische Islamisten, die alle anderen Religionen auslöschen wollen. Auch hier gehört analysiert, wer fördert diese Menschen, keine Religion fordert die Ausrottung einer anderen. Ergo gilt es die manipulativen Kanäle trocken zu legen. Unterm Strich wird auch hier wieder ein Regime stehen, welches durch Terror in der Welt das eigene System am Leben erhält. Grundsätzlich ist kein Mensch ein geborener Terrorist sondern wenn man so will ein ""geformter Soldat"". Jeder will ein zufriedenes erfülltes Leben. Hinterfragen wir also jeden Attentäter bzgl. Motivation und Historie, irgendwas muss Menschen soweit bringen abscheuliche Taten zu verüben. Es widerspricht der menschlichen Natur aus Vergnügen 100 Menschen mit in den Tod zu reissen, ist es etwa wie bei einem Amokläufer ... Provokation bis der ""Kragen platzt""? Auch hier eine Kritik an der aktuellen Flüchtlingspolitik, wie kann es sein das ein Flüchtling den anderen Flüchtling trifft, aus der einen Sicht ist der andere der Folterknecht, welche ihn monatelang misshandelt hat, aus der des anderen steht er vor dem entkommenen Sträfling, welcher einigen Familien die Lebensgrundlage durch gewalttätige Aktionen (evtl. aufgrund von Stammeszugehörigkeit) genommen hat. Allen und jedem helfen zu wollen kann sich schnell ins Gegenteil wenden. Würde es irgendwen wundern wenn beide Vorgenannten durch listige Dritte nun leicht zu radikalisieren wären?",2017-08-29 14:51:36.969455,NULL,NULL,NULL
10,Was denken Sie: Wie lässt sich Terror stoppen? (69),Michael1971,"Terror läßt sich niemals vermeiden. Man müßte erstmal das Internet unter Kontrolle bringen. Da dort alles anfängt.Die Vernetzung weltweit ist ein großes Problem. Und das haben auch schon andere große Länder nicht geschafft. Und was allen halt fehlt ist die ""Toleranz"". Weil jeder nur Macht und Geld will.",2017-08-29 21:35:02.792252,NULL,NULL,NULL
11,Was denken Sie: Wie lässt sich Terror stoppen? (69),Melinova,"Ganz vermeiden lässt sich das nicht weil es immer irgendwelche Menschen gibt die durchdrehen,sich manipulieren lassen oder eine eingeschränkte Sichtweise auf das Leben haben. Man kann es höchstens etwas minimieren in dem man hilft die Konflikte bei zu legen,und mehr aufklärt (vor allem bei den Jugendlichen) usw..",2017-08-30 08:54:56.339713,NULL,NULL,NULL
12,Was denken Sie: Wie lässt sich Terror stoppen? (69),Betty,"Ich glaube nicht daran, dass sich der Terror vollständig stoppen lässt. Es war auch keine gute Entscheidung, Flüchtlinge ohne Personalien und Prüfung aufzunehmen. Ich habe schon Verständnis für diese Menschen, aber wir müssen in erster Linie unsere Kinder und unser Land schützen.",2017-08-30 10:23:26.100982,NULL,NULL,NULL
13,Was denken Sie: Wie lässt sich Terror stoppen? (69),hoppel77,"wenn man die Kontrollen mal erst nimmt. Ja zu wenig Polizei, aber selber Schuld, lieber das Geld für unütze Dinge ausgeben.",2017-08-30 10:55:30.208574,NULL,NULL,NULL
14,Was denken Sie: Wie lässt sich Terror stoppen? (69),thr79,"Garnicht..... es gab immer Teror und es wird leider immer Terror geben..... dazu brauchen wir keine ISIS und sonst was...... die NSU und die RAF scheinen vergessen.... das waren Deutsche..... wer so krank und so kaputt im Kopf ist, der ist unberechenbar! Daher wird es verdammt schwer sowas in den Griff zu bekommen... Solange es noch rechtsradikale Gruppierungen und Parteien gibt, die auch noch massig Beifall und Zuneigung bekommen, sowieso nicht!",2017-08-30 10:58:48.271598,NULL,NULL,NULL
15,Was denken Sie: Wie lässt sich Terror stoppen? (69),thr79,"Was ist den Unnütz..... ? die CDU will 30 Mio. in Rüstung stecken.... die SPD plant eher in Schulen, Familien, soziale Wohnungsbau..... ganz ehrlich..... 30 Mio. für Kriegsmaschinen..... nein Danke!",2017-08-30 11:00:28.580107,13,NULL,NULL
16,Was denken Sie: Wie lässt sich Terror stoppen? (69),Noodles,"Und was hat das jetzt mit der Frage zu tun, wie man den Terror bekämpfen könnte?",2017-08-30 12:11:58.45125,3,NULL,NULL
17,Was denken Sie: Wie lässt sich Terror stoppen? (69),ruberall,"Wer hat diesen Mist wohl zu verantworten ? Die USA mit einer Aussenpolitik die, die letzten 8 Jahre nicht vorhanden war, ausser Lächeln und Shakehands ! Sorry, das muss ich mal loswerden unter Obama gab es keine Aussenpolitik !!!!! Everybodys Darling kann er ja ruhig sein, aber hier hat er versagt, es will bloss keiner hören !",2017-08-30 12:23:36.570678,NULL,NULL,NULL
18,Was denken Sie: Wie lässt sich Terror stoppen? (69),pfeile,"Allianz von Russland, USA und China",2017-08-30 14:39:42.576383,NULL,NULL,NULL
19,Was denken Sie: Wie lässt sich Terror stoppen? (69),anonym2,Ersteinmal müßte Weltweit jeder Krieg beendet werden und alle Religionen verboten werden um keinen neuen Hass zu erzeugen. Nur ausreichende Bildung schützt vor hasserfüllter Beeinflussung. Wenn die Flüchtlinge sich nicht in den geflüchteten Staaten an deren Lebensweise anpassen wollen haben Sie in diesen nicht verloren!,2017-08-30 15:59:30.096312,NULL,NULL,NULL
20,Was denken Sie: Wie lässt sich Terror stoppen? (69),Dani205,"Leider muss ich zustimmen, was immer wieder gesagt wird, Terror lässt sich nicht stoppen, wir leben glücklichweise in einer freien Welt nit Menschen-Kontakt. Da kann immer einer dabei sein, der es nicht gut mit uns meint. Gewissen Vermeidungen stimme ich zu. Ich fahre nicht mehr nach Ägypten z.B., schade, würde gerne die Pyramiden sehen, aber ist mir zu gefährlich. Gewisse Vorbeugung ist sinnvoll wie Kontrolle an Stadien/Arenen bei Konzerten etc., Public Viewing. Mehr Aufpassen von uns Allen.",2017-08-31 05:25:17.491471,NULL,+1|retort,"[""Realitaet""]"
21,Was denken Sie: Wie lässt sich Terror stoppen? (69),kalle,"Klare Kontrolle der zuwanderung, überwachung von risikogruppen und endlich öffendliches eingeständnis das es sehr wohl innerhalb gewisser gruppen eine affinität zur gewalt gibt",2017-08-31 08:08:29.452426,NULL,+1|retort,"[""Realitaet""]"
22,Was denken Sie: Wie lässt sich Terror stoppen? (69),HLW,"Der Terror wird sich nicht stoppen lassen. Es wird immer Personen geben, die Ihre Forderungen mit extremen Mitteln versuchen durchzusetzen. Wichtig ist, dass radikale Ideologien sich nicht ausbreiten dürfen. Das muss erkannt werden und mit Aufklärung gegengesteuert werden.",2017-08-31 08:24:52.108972,NULL,NULL,NULL
23,Was denken Sie: Wie lässt sich Terror stoppen? (69),Lea,"Ich bin überzeugt, dass jeder einzelne Mensch in seinem Umfeld und durch seine Lebensweise den Frieden in die Welt bringen kann!! Durch Hoffnung, Liebe, Annahme, Hilfsbereitschaft, Offenheit, und der Bereitschaft, eigene Fehler einzugestehen, zu Vergeben und Denkmuster über den Haufen zu werfen!",2017-08-31 08:27:19.616414,NULL,+1|retort,"[""Nin"", ""thr79""]"
24,Was denken Sie: Wie lässt sich Terror stoppen? (69),waldi,Solange die Tür ins Land offen ist gibt es kein Schutz gegen Terror,2017-08-31 08:45:46.405058,NULL,+1|retort,"[""Realitaet"", ""Ampelmann""]"
25,Was denken Sie: Wie lässt sich Terror stoppen? (69),nicolehh,"Den Terror kann man leider nicht mehr stoppen, jetzt, wo manche Terrororganisationen aus manchen Ländern fast vertrieben sind, werden sie sogar verstärkt aus dem Untergrund arbeiten.",2017-08-31 09:15:05.297419,NULL,+1|retort,"[""thr79""]"
26,Was denken Sie: Wie lässt sich Terror stoppen? (69),BlueBayou,"Ist doch eh nur wie immer. Weil ein Thema groß/heiß geworden ist, versucht unsere tolle Regierung, bzw. Mama Merkel, nun mit einem Punkte-Plan die Bevölkerung zu beruhigen. Sie ist es ja nicht, die unmittelbar betroffen ist, sie hat immer Schutz um sich, fährt Panzerlimousine, usw. Auch Ihre Minister können da leicht von oben tun und reden. Die maßgeblichen Fehler wurden doch längst begangen, indem man eben so viel unkontrollierten Zugang ins Land zuließ. ""Dem deutschen Volk dienen"" - Merkel wurde dafür gewählt, hat aber doch indirekt das Gegenteil gemacht. Natürlich tun einem die Menschen auch leid, keine Frage, aber das war viel zu viel - zumal wir selber genügend Probleme im Land haben und hatten. Aber von oben, wenn es einem prima geht, sieht man das eben immer anders. Jetzt den möglichen Terror zu verhindern ist doch unmöglich. Man kann ihn viell. verringern, etwas abfedern, aber richtige Sicherheit - oder zumindest das Gefühl der Sicherheit, wie wir sie früher kannten - wird es hier doch nicht mehr so schnell geben. Vielleicht sogar nie mehr. Da spielt die Zeit und Zukunft natürlich eine wichtige Rolle. Entsetzt bin ich ehrlich gesagt darüber, dass Merkel & Co. dennoch so viel Zuspruch erhalten. Da hat man den Eindruck, dass die meisten Bürger eben nur nach dem wählen, was sie immer gewählt haben oder keine echte Alternative sehen. Und das ist für eine Demokratie nun wirklich schade.",2017-08-31 10:06:03.16468,NULL,+1|retort,"[""Ampelmann""]"
27,Was denken Sie: Wie lässt sich Terror stoppen? (69),hoppel77,Tja sie lernen ja nicht aus ihren Fehlern. Wir können nichts dagegen machen.,2017-08-31 10:07:30.290083,18,NULL,NULL
28,Was denken Sie: Wie lässt sich Terror stoppen? (69),Jakob,"Natürlich lässt sich Terror stoppen und eindämmen. Eine wichtige Rolle spielen dabei Polizei und Geheimdienste, das Personal für Aufklärung und Prävention muss ausreichend groß sein. Da ein Großteil des derzeitigen Terrorismus direkte oder indirekte Folge von irregulärer Zuwanderung oder Integrationsproblemen ist, muss Deutschland verhindern, dass ausländische Konflikte und ausländischer Extremismus auf deutschem Boden ausgetragen bzw. auf deutschem Boden ausgeweitet werden. Die ""Infektion"" mit extremistischem Gedankengut gilt es zu verhindern, z.B. in radikalen Moscheen. Keine Prediger aus dem Ausland, ohne dass diese hier geprüft werden oder sich ""zertifizieren"" lassen, Predigten auf deutsch nachlesbar, Finanzierung aus dem Ausland nur nach vorheriger Genehmigung. Deutschland muss außerdem genau hinsehen, wen es hereinlässt: Aufnahme aufgrund Asyl etc. auf das absolut rechtliche Notwendige begrenzen. Dublinregeln vollständig umsetzen, die Bevölkerung muss darauf vertrauen können, dass (EU-)Recht angewendet wird. Konventionen und andere Regelungen lassen sich ändern, wenn sie zu übermäßigen Belastungen führen - mehr Mut bitte. Reguläre EInwanderung nach klaren Kriterien, die Terrorgefahr reduzieren, wie z.B. akademische Ausbildung, nachgewiesene Verbundenheit mit westlichen Werten. Langfristig auch Zusammenarbeit mit Ländern ändern, die Islamismus fördern, wie z.B. Saudiarabien, und eine weltweite Terrordatenbank aufbauen.",2017-08-31 10:10:43.650332,NULL,+1|retort,"[""thr79""]"
29,Was denken Sie: Wie lässt sich Terror stoppen? (69),mejupa,"Gar nichts kann man dagegen machen. Es wird immer Terror geben, nur die Gruppen und Ziele ändern sich. Früher waren es Christen, heute Islamisten, morgen?",2017-08-31 11:32:33.159385,NULL,NULL,NULL
30,Was denken Sie: Wie lässt sich Terror stoppen? (69),Pirol01,"Ich denke auch, das es Terror schon immer gegeben hat und geben wird. Überall da wo Menschen zusammen kammen gibt es verschiedene Meinungen und wenn Macht und Geld dazu kommen , werden manche größenwhnsinnig. Auch diejenigen, die keine große Perspektive sehen (auch wenn sie da wäre) sind schnell gerade heutzutage zu beeinflussen . Die Probleme nehmen halt heutzutage durch die Berichterstattung diverser einseitiger Medien und durch die Meinungen der Internetbenutzen rasant zu. Da kann man nur auf gesunden Menschenverstand hoffen. Die Welt ist zu sehr vernetzt und doie Länder nicht mehr autark. somit gibt es nun mal eine Abhängigkeit jedes Landes in unterschiedlicher Weise. Das ist nicht Rückgängig zu machen. Vielleicht sollte man einfach auch mehr Respekt gegenüber Menschen und Ländern zeigen. Das wäre mein Wunsch und das hat nix mit nur den Politikern zu tun. Das wäre zu einfach",2017-08-31 13:41:47.817822,NULL,NULL,NULL
