post_number,topic,user,raw,created_at,reply_to_post_number,key,value
11,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),mcpib,"Ist das Volksverdummung, Verdrängung oder Hinhalten? In keinem der neun Punkte wird eine konkrete Regelung erwähnt, alles recht wage und offen um jederzeit alternative Wege einschlagen zu können bzw. die Möglichkeit zu nehmen, die Umsetzung nach einiger Zeit anhand fester Kenngrößen bewerten zu können. Ob ein wie gehabtes und künftig fortgeführtes Frühwarnsystem besonders sinnig ist anstatt mit den Mitteln die Ursachen zu bekämpfen ist eine mutige Strategie. Eine ""Feindaufklärung"" macht eigentlich nur Sinn, wenn man diesen Gegner kennt, ansonsten benötigt man die Totalüberwachung aller Bürger bzw. Personen die sich im Einflussbereich aufhalten. Jahrelanger massiver Personalabbau soll durch Schaffung neuer Stellen (i. d. R. auf dem Arbeitsmarkt nicht sofort mit entsprechender Qualifikation vorhanden) korrigiert werden. Probleme bleiben somit, sogar mit Ansage, jahrelang liegen? In Zeiten, in welchern irgendwelche Hacker einen massiven Schaden anrichten können und mitunter diese Gefahr als eine der größten für die Zukunft gilt, erscheint es geradezu lächerlich mit Maßnahmen zur Entschlüsselung etwas gegen den Terror unternehmen zu wollen. Unterbezahlte, schlecht ausgerüstete staatliche Organe, welche sich bereits schwer damit tun irgendwelche ""Hobby-Straftäter"" nachhaltig zu verfolgen sollen nun plötzlich in der Lage sein die besten organisierten Profis auszuhebeln? Mehr als das Schnüffeln in den privaten Daten der ehrlichen braven Bürger wird nicht dabei herauskommen. Würde man es erst meinen wären hier Vergleiche zu China notwendig (deren Investitionen in einen solchen Bereich), zeitgleich würde man auch die Wirtschaftsspionage, organisierte Kriminalität und viele andere Betrügereien stoppen ... Beim Thema Bundeswehr wäre es zunächst einmal wichtig das Grundgesetz anzupassen. Nicht nur über Möglichkeiten bei Terror sondern auch bei Überschwemmungen etc. nachdenken. Die Bevölkerung benötigt mehr Identifikation mit der Truppe, sonst wird ein entsprechender Einsatz mehr Unmut als Zuspruch erhalten. Forschung und Prävention, was muss man da soviel Geld hineinstecken, wenn der gesunde Verstand die notwendigen Antworten liefert. Ein weiteres Zeichen dafür wie weit die Politik inzwischen von den Menschen die sie regieren entfernt ist. Proteste und Sorgen nicht nur anhören auch ernst nehmen. Am Ende des Tages hat man die gleichen Ergebniss und kann durch überlegtes Handeln Probleme vermeiden die man aktuell bekämpft. Ein Austausch mit anderen Behörden macht durchaus Sinn, wenn diese Daten allerdings schon im eigenen Land nicht fließen mutet es merkwürdig an sich auf europäischer bzw. globaler Ebene diesem Thema zu verschreiben. Datenschutz sollte betrieben werden, allerdings wenn man den USA u. a. gestattet bei Flugreisenden auf Bankdaten zuzugreifen muss man bspw. innerhalb der EU nicht jede Micro-Information wochenlang debattieren. Geradezu lächerlich erscheint es, wenn man ganz plötzlich das Darknet entdeckt hat und nun in der virtuellen Welt den Waffenhändlern das Handwerk legen möchte. Im Volksmund heißt es nicht umsonst, wer eine Waffe möchte bekommt sie egal woher. Aufgabe der Politik wäre wohl eher der Waffenlobby ein Gewissen aufzunötigen. Alsbald wird jedes Steuergerät eines Autos Millionen von Daten (ungewollt) übermitteln, warum nicht auch Waffen? Soalnge jeder Staat sein eigenens Süppchen kocht ist die Zusammenarbeit von Geheimdiensten mehr Wunsch als Realität. Leider führt nur eine massiv steigende Bedrohungslage dazu, dass kooperiert wird. Der letzte Punkt wirkt als würde man den rechten Rand der politischen Bühne abgrasen wollen. Dank unenedlich vieler Ausnahmen, sozial engagierter Menschen und Verbände gelingt nicht einmal im Ansatz die rechtlich bestehende Abschieberegelung durchzusetzen. Bevor man ein MEHR ankünigt sollte man konsequent unter Beweis stellen bereits heute ohne Ausnahme und Ausflüchte vollziehen zu wollen.",2017-08-29 14:27:24.164083,NULL,+1|retort,"[""feriyaz"", ""Osmanhd93"", ""Realitaet"", ""Krereg""]"
12,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Hoge52,"Dieser 9 Punkte-Plan kommt zwei Jahre zu spät. Wie soll das realisiert werden, wenn nach wie vor gar nicht das Personal dafür da ist um dies umzusetzen. Jahrelang erfolgte Personalabbau in der Polizei und anderen Behörden und wenn man jetzt anfängt wieder auszubilden, dann sind diese Kräfte frühestens in drei Jahren einsatzbereit. Ohne Kontrolle Hunderttausende ins Land zu lassen ist kriminell genug.",2017-08-29 17:48:40.680154,NULL,+1|retort,"[""Realitaet"", ""Krereg""]"
13,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Melinova,Im grunde sind einige Sachen längst überfällig gewesen und schon fast zu spät. Vieles ist nur blabla ob das dann auch wirklich so umgesetzt wird werden wir sehen. Es muss viel früher gehandelt werden und auch alles konsequent durchgsetzt werden. Aber das alles nützt denke ich auch nicht unbedingt viel bei EInzeltäter die dann mit dem Auto irgendwo reinbrettern.,2017-08-30 08:52:39.05407,NULL,NULL,NULL
14,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Kay,"Der Plan geht viel zu kurz und ist teilweise schon überholt. Darüber hinaus sind die getroffenen Ankündigungen viel zu schwammig. Typisch, Volksberuhigung vor den Wahlen ...",2017-08-30 10:02:14.726427,NULL,NULL,NULL
15,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Betty,"Dieser Plan ist dringend notwendig, aber mir ist das alles viel zu wage und wischi waschi. Die Umsetzung hätte schon längst zielgerichtet erfolgen ´müssen, aber aus reden passiert nicht viel.",2017-08-30 10:28:25.976256,NULL,+1|retort,"[""Vicky""]"
16,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),GOMERA,"Generell halte ich eine Terrorbekaempfung fuer sinnvoll. Nachdem die Polizeikraefte immer mehr abgebaut wurden, ist es dringend erforderlich die Engpaesse wieder aufzuruesten, zumal sehr viele Polizisten kurz vor dem Ruhestand stehen. Solange es Unternehmen in Deutschland gibt, welche auch in Krisengebiete Waffen exportieren halte ich dies fuer reine Augenwischerei der Kanzlerin um das Volk zu beruhigen, zumal alle Waffenexporte durch die Bundesregierung genehmigt sind. Gerade der Waffenexport liefert die Voraussetzung fuer die enorme Voelkerwanderung (Fluechtlinge aus Afganistan und Syrien).",2017-08-30 10:59:47.568264,NULL,NULL,NULL
17,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),GOMERA,"Unser GG ist schon lange von der Regierung ausgehebelt worden, da auch hier das GG ganz nach belieben ausgelegt wird. Ich halte das Ganze fuer eine Farce um die Verdummung der Buerger weiter voran zu treiben.",30.08.2017 11:03,2,NULL,NULL
18,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),GOMERA,"Es ist eine unbestrittene Tatsache dass wir mit Angst regiert werden. Angst wird geschuert um von der tatsaechlichen Situation welche herrscht abzulenken. Wer sich einmal das GG durchgelesen hat, der weiß dass wir unter den jetzigen Voraussetzungen weder ein Mitspracherecht, noch Menschenrechte besitzen, da wir uns faktisch immer noch im Kriegszustand befinden. Anbetracht dieser Tatsache sind viele Aussagen unserer Politiker unter Vorbehalt zu sehen und zu werten, da sie ALLE die gegebenen Fakten kennen. Nach geltendem EU Recht haette kein einziger Fluechtling die BRD jemals erreicht, wenn diese Gesetze tatsaechlich angewand worden waeren. Stattdessen erfolgt immer nur ein ""blah-blah-blah"" in Kremien, welche die gegbenen Fakten voellig ignorieren.",2017-08-30 11:16:10.581113,11,NULL,NULL
19,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Thomas,"Personalaufstockung für die Polizei ist essentiell! Die Behörde für die Entschlüsselung ebenso - bin mal gespannt ob es irgendwann auch eine Meldung gibt, dass hier etwas passiert ist.. Frühwarnsystem - schönes blabla :frowning: Mehr Zusammenarbeit auf europäischer Ebene sollte sowieso der Fall sein. Dass online Waffen gekauft werden können ist mir unverständlich. Das fängt schon mit der Prüfung des Empfängers an - am besten noch in eine Paketbox liefern ... Abschiebung - bei wirklich sicheren Herkunftsländern und abgelehntem Asylantrag eigentlich umgehend!",2017-08-30 11:25:33.318557,NULL,NULL,NULL
20,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Noodles,"Praktisch alle Punkte bieten wenig Konkretes. Absichtserklärungen und nebulöse Ankündigungen sind kein Ersatz für lösungsorientierte Politik. Laut lachen musste ich beim Thema Personal für die Polizei. Ausgerechnet jene, für die die schwarze Null das oberste Staatsziel ist, die seit Jahren alles kaputtsparen, damit die oberen 5 Prozent noch mehr in den gierigen Hals bekommen, wollen jetzt für mehr Personal sorgen? Wahrscheinlich zum Mindestlohn und mit Zeitvertrag.... Bundeswehr im Inneren ist ein No-go! Die Trennung von Polizei und Militär ist aus gutem Grund im GG verankert. Historisch Interessierte wissen, warum das so ist. Der letzte Punkt ist wohl eher ein Happen für die neuen Rechten. Was haben denn Flüchtlinge generell mit Terror zu tun? Ach ja ich weiß: sämtliche Terroranschläge der letzten Jahre wurden ja von Flüchtlingen verübt..... Herr lass Hirn regnen.",2017-08-30 11:46:47.884908,NULL,NULL,NULL
